Start time: 8/11/2021 10:09:29 AM
0, 1: 114.403785705566, 3
0, 2: 36.3708267211914, 2
0, 3: 52.5417938232422, 0
0, 4: 46.398193359375, 2
0, 5: 23.4993591308594, 1
0, 6: 27.487060546875, 2
1, 1: 26.933837890625, 2
1, 2: 26.131591796875, 3
1, 3: 27.0095520019531, 3
1, 4: 26.2206115722656, 1
1, 5: 26.9533081054688, 3
1, 6: 24.8876953125, 2
2, 1: 28.4797058105469, 2
2, 2: 27.6083374023438, 2
2, 3: 22.923095703125, 2
2, 4: 24.4981079101563, 2
2, 5: 25.52099609375, 2
2, 6: 28.2864990234375, 3
3, 1: 30.2896118164063, 3
3, 2: 24.8880615234375, 3
3, 3: 27.4308471679688, 2
3, 4: 28.342041015625, 0
3, 5: 27.0090942382813, 2
3, 6: 31.4625244140625, 3
4, 1: 32.2501831054688, 1
4, 2: 31.1295776367188, 2
4, 3: 22.6110229492188, 1
4, 4: 22.6669311523438, 2
4, 5: 26.7425537109375, 2
4, 6: 28.4859619140625, 3
5, 1: 30.4927978515625, 3
5, 2: 23.2439575195313, 1
5, 3: 25.9094848632813, 1
5, 4: 24.832275390625, 3
5, 5: 26.8204345703125, 1
5, 6: 25.9091796875, 2
6, 1: 21.58837890625, 0
6, 2: 26.7421875, 1
6, 3: 24.465576171875, 1
6, 4: 23.8992919921875, 2
6, 5: 21.18994140625, 2
6, 6: 23.44384765625, 3
7, 1: 23.5997314453125, 0
7, 2: 26.4423828125, 3
7, 3: 22.2886962890625, 0
7, 4: 29.8304443359375, 2
7, 5: 28.5303955078125, 0
7, 6: 27.1534423828125, 1
8, 1: 18.664794921875, 1
8, 2: 24.2655029296875, 2
8, 3: 20.9010009765625, 1
8, 4: 24.2435302734375, 0
8, 5: 20.1683349609375, 0
8, 6: 21.478271484375, 2
9, 1: 22.599365234375, 0
9, 2: 23.0885009765625, 2
9, 3: 19.6680908203125, 1
9, 4: 24.65478515625, 0
9, 5: 20.72314453125, 3
9, 6: 20.75634765625, 1
10, 1: 28.8524169921875, 1
10, 2: 32.017578125, 1
10, 3: 26.998291015625, 2
10, 4: 24.431884765625, 1
10, 5: 23.6552734375, 2
10, 6: 27.9080810546875, 2
11, 1: 23.165283203125, 2
11, 2: 28.763916015625, 3
11, 3: 27.44189453125, 1
11, 4: 28.797119140625, 2
11, 5: 26.287353515625, 1
11, 6: 23.632568359375, 1
12, 1: 26.962646484375, 2
12, 2: 25.021728515625, 2
12, 3: 19.249755859375, 1
12, 4: 21.80615234375, 2
12, 5: 19.125244140625, 2
12, 6: 20.89990234375, 0
13, 1: 21.66259765625, 1
13, 2: 24.599365234375, 5
13, 3: 18.679443359375, 1
13, 4: 19.545654296875, 0
13, 5: 21.78955078125, 2
13, 6: 21.311767578125, 2
14, 1: 17.665771484375, 2
14, 2: 20.579833984375, 0
14, 3: 18.227783203125, 1
14, 4: 20.877685546875, 1
14, 5: 17.982666015625, 0
14, 6: 19.299072265625, 3
15, 1: 19.789794921875, 2
15, 2: 20.075927734375, 1
15, 3: 17.870361328125, 2
15, 4: 22.889404296875, 3
15, 5: 20.155517578125, 1
15, 6: 21.04833984375, 2
16, 1: 20.49951171875, 0
16, 2: 19.001708984375, 0
16, 3: 19.168212890625, 4
16, 4: 25.110107421875, 3
16, 5: 20.61181640625, 1
16, 6: 19.734619140625, 3
17, 1: 15.368408203125, 0
17, 2: 20.368408203125, 2
17, 3: 22.07470703125, 1
17, 4: 22.603515625, 2
17, 5: 18.656982421875, 2
17, 6: 18.946044921875, 3
18, 1: 14.43408203125, 2
18, 2: 17.681396484375, 0
18, 3: 16.357421875, 1
18, 4: 19.357177734375, 4
18, 5: 19.61865234375, 2
18, 6: 19.685546875, 3
19, 1: 21.14892578125, 3
19, 2: 19.3125, 2
19, 3: 17.1025390625, 2
19, 4: 19.801513671875, 0
19, 5: 16.158447265625, 2
19, 6: 21.545166015625, 3
20, 1: 17.575927734375, 0
20, 2: 22.444580078125, 2
20, 3: 18.923828125, 1
20, 4: 17.09130859375, 1
20, 5: 17.76904296875, 0
20, 6: 16.902587890625, 1
21, 1: 16.286376953125, 2
21, 2: 17.33642578125, 1
21, 3: 16.746337890625, 2
21, 4: 19.823486328125, 0
21, 5: 17.135986328125, 2
21, 6: 21.734130859375, 2
22, 1: 17.29150390625, 0
22, 2: 17.246337890625, 3
22, 3: 15.748046875, 1
22, 4: 18.72412109375, 2
22, 5: 19.02392578125, 2
22, 6: 18.990478515625, 1
23, 1: 23.454345703125, 1
23, 2: 19.734375, 3
23, 3: 18.1025390625, 2
23, 4: 18.323974609375, 1
23, 5: 15.79296875, 1
23, 6: 16.55810546875, 2
24, 1: 15.984619140625, 0
24, 2: 16.914794921875, 2
24, 3: 18.3681640625, 2
24, 4: 20.123779296875, 3
24, 5: 18.434814453125, 1
24, 6: 19.201904296875, 1
25, 1: 17.224365234375, 1
25, 2: 19.079833984375, 1
25, 3: 17.39111328125, 2
25, 4: 17.05810546875, 0
25, 5: 16.63671875, 1
25, 6: 17.646484375, 3
26, 1: 16.512939453125, 1
26, 2: 17.580078125, 1
26, 3: 15.214599609375, 2
26, 4: 18.591064453125, 1
26, 5: 16.668701171875, 3
26, 6: 20.87890625, 3
27, 1: 15.235595703125, 3
27, 2: 16.491455078125, 1
27, 3: 17.846435546875, 2
27, 4: 16.436279296875, 0
27, 5: 15.381591796875, 1
27, 6: 17.924072265625, 0
