20.04(0.0, 0.0, 0.0)
20.04(0.0, 0.0, 0.0)
20.04(0.0, 0.0, 0.0)
0,0
10.23398(-1.0, -0.6, 3.6)
15.35097(-0.4, -0.8, 5.9)
30.70193(-1.0, -0.9, 8.4)
0,1
0,2
13.67191(-0.7, -2.7, 3.5)
0,3
43.73004(-0.7, -3.6, -5.9)
0,4
35.55928(0.5, -4.4, 5.8)
36.05948(0.5, -4.6, 6.1)
39.63532(0.5, -4.8, 8.6)
0,5
12.60732(0.3, -6.2, -3.4)
40.54973(0.5, -6.4, -8.5)
41.0604(0.5, -6.6, -8.6)
53.288(-0.7, -6.9, -8.5)
1,0
30.49194(-0.2, -8.7, 3.6)
1,1
1,2
18.74573(-0.4, -10.1, 6.1)
25.86432(-0.8, -10.3, 8.6)
1,3
14.61537(-0.7, -11.4, -5.8)
22.7668(0.6, -11.6, -6.1)
23.78879(0.6, -11.9, -6.2)
1,4
15.01561(0.3, -13.5, 5.9)
17.55789(0.5, -13.7, 5.9)
1,5
11.36111(0.5, -14.8, -3.6)
30.66281(-0.3, -15.0, -5.8)
2,0
30.74319(0.3, -16.3, 3.4)
2,1
14.37091(-0.4, -17.5, -3.6)
23.03333(0.4, -17.8, -6.0)
35.74948(-0.7, -17.9, -8.4)
2,2
26.64297(0.4, -19.2, 6.1)
33.76147(0.5, -19.5, 8.4)
2,3
24.79932(0.5, -20.8, -5.8)
25.31(0.5, -21.0, -5.8)
2,4
2,5
21.72339(0.5, -22.9, -6.2)
3,0
3,1
10.29492(-0.7, -24.6, -3.5)
35.22736(-0.4, -24.9, -8.6)
45.36682(0.5, -25.1, -6.0)
75.81934(0.7, -25.3, -8.4)
3,2
22.93414(-0.6, -26.9, 6.1)
34.1394(-0.2, -27.1, 8.5)
3,3
19.0799(0.6, -28.4, -5.9)
20.61261(-0.1, -28.7, -6.0)
3,4
7.307495(0.8, -29.8, 3.6)
14.93744(0.4, -30.1, 5.9)
27.6424(0.5, -30.3, 8.6)
34.27277(-1.1, -30.6, 8.5)
3,5
10.0061(-0.7, -32.2, -3.5)
19.1795(0.1, -32.3, -5.8)
20.71198(-0.1, -32.5, -5.8)
4,0
9.05666(-0.9, -33.7, 3.6)
18.11331(-0.8, -34.0, 6.0)
4,1
13.07227(-0.5, -35.4, -3.5)
15.10406(0.3, -35.7, -3.6)
35.96063(-0.7, -35.9, -8.6)
41.56909(0.6, -36.0, -8.4)
82.76031(0.6, -36.1, -8.5)
4,2
4,3
4,4
6.407104(0.7, -39.2, 3.4)
17.60193(-0.6, -39.4, 5.8)
18.61267(-0.9, -39.6, 6.1)
4,5
10.80585(-0.6, -41.2, -3.5)
5,0
8.44112(0.9, -42.1, 3.5)
16.88223(0.9, -42.3, 6.0)
5,1
5,2
15.41394(-1.0, -44.1, 6.2)
26.60913(-0.8, -44.4, 8.4)
29.15222(-0.4, -44.5, 8.5)
5,3
10.76123(-0.9, -46.0, -3.6)
22.97791(0.5, -46.2, -6.2)
26.04285(-0.8, -46.4, -6.1)
5,4
12.34998(-0.4, -48.1, 6.0)
15.39246(0.5, -48.3, 6.2)
24.03357(-1.0, -48.5, 6.2)
31.67395(-0.9, -48.6, 8.5)
