Start time: 8/28/2021 12:00:00 AM: 8/28/2021 12:34:58 AM
LetterTask1
e, e - () 3.165561 seconds
l, l - () 0.9496899 seconds
t, t - () 2.282579 seconds
f, f - () 2.065935 seconds
d, d - () 1.766087 seconds
p, p - () 1.149588 seconds
z, z - () 1.033024 seconds
o, o - () 2.049337 seconds
c, c - () 1.716047 seconds
LetterTask18
f, l - () 3.932037 seconds
t, t - () 8.380657 seconds
p, d - () 4.181904 seconds
d, p - () 7.780712 seconds
e, z - () 20.32651 seconds
l, l - () 7.51416 seconds
z, z - () 2.082573 seconds
c, o - () 3.098953 seconds
o, o - () 5.8647 seconds
LetterTask15
d, f - () 4.081879 seconds
o, o - () 3.148987 seconds
l, e - () 1.74942 seconds
z, z - () 2.215942 seconds
e, d - () 1.449432 seconds
p, d - () 1.366272 seconds
f, t - () 2.399078 seconds
c, c - () 3.815414 seconds
t, t - () 2.819841 seconds
LetterTask20
l, l - () 1.449509 seconds
e, e - () 2.199249 seconds
d, d - () 1.549484 seconds
o, o - () 3.69873 seconds
p, p - () 1.999329 seconds
c, c - () 2.449158 seconds
f, f - () 2.582489 seconds
z, z - () 1.349487 seconds
t, t - () 2.265976 seconds
LetterTask2
d, d - () 2.182495 seconds
c, c - () 3.099106 seconds
p, p - () 1.832581 seconds
z, t - () 2.465942 seconds
t, t - () 2.432785 seconds
e, e - () 2.215607 seconds
f, f - () 3.248947 seconds
l, l - () 1.716049 seconds
o, d - () 2.599136 seconds
LetterTask27
c, o - () 2.633087 seconds
l, d - () 2.115372 seconds
z, z - () 1.38295 seconds
o, o - () 4.781647 seconds
f, d - () 3.432175 seconds
e, d - () 8.530502 seconds
d, e - () 15.5614 seconds
p, p - () 4.181915 seconds
t, t - () 3.332245 seconds
LetterTask14
t, t - () 1.732788 seconds
d, d - () 2.116028 seconds
f, f - () 2.065918 seconds
z, z - () 1.182861 seconds
c, c - () 2.099365 seconds
e, e - () 1.816071 seconds
l, l - () 1.449646 seconds
p, p - () 1.316071 seconds
o, o - () 4.964996 seconds
LetterTask9
p, f - () 7.814056 seconds
d, d - () 5.198151 seconds
z, z - () 3.098969 seconds
o, o - () 10.87976 seconds
c, c - () 5.581329 seconds
f, p - () 20.30991 seconds
l, d - () 3.582092 seconds
e, d - () 5.96463 seconds
t, t - () 4.298523 seconds
LetterTask23
l, l - () 2.46582 seconds
t, t - () 3.249023 seconds
o, o - () 3.115509 seconds
f, f - () 2.665771 seconds
d, d - () 1.516205 seconds
p, p - () 2.482422 seconds
e, e - () 2.499237 seconds
c, c - () 1.799377 seconds
z, z - () 1.566132 seconds
LetterTask22
c, c - () 3.18222 seconds
d, d - () 1.816101 seconds
p, p - () 2.099213 seconds
l, o - () 1.532867 seconds
t, t - () 3.115509 seconds
o, o - () 2.182709 seconds
z, z - () 1.366119 seconds
e, e - () 1.716156 seconds
f, f - () 2.149261 seconds
LetterTask8
l, l - () 2.249298 seconds
e, e - () 2.082581 seconds
d, d - () 2.649109 seconds
p, f - () 5.748047 seconds
c, c - () 3.565491 seconds
f, f - () 4.631775 seconds
t, t - () 2.08255 seconds
z, z - () 1.28299 seconds
o, l - () 5.931335 seconds
LetterTask21
e, l - () 4.881683 seconds
f, d - () 2.565796 seconds
p, f - () 4.948364 seconds
z, z - () 1.81601 seconds
t, t - () 3.248901 seconds
o, o - () 4.915039 seconds
l, l - () 5.331543 seconds
c, o - () 2.98233 seconds
d, d - () 5.814697 seconds
LetterTask17
p, p - () 2.065979 seconds
t, t - () 1.882751 seconds
o, d - () 1.582764 seconds
z, z - () 2.015991 seconds
c, c - () 1.732727 seconds
l, l - () 2.032654 seconds
e, e - () 2.282471 seconds
f, f - () 3.132385 seconds
d, d - () 1.982666 seconds
LetterTask19
e, e - () 2.049255 seconds
z, z - () 1.716064 seconds
f, f - () 1.999329 seconds
o, o - () 2.349121 seconds
p, p - () 1.616211 seconds
l, l - () 1.450134 seconds
t, t - () 2.615112 seconds
d, d - () 1.632813 seconds
c, c - () 2.482483 seconds
LetterTask6
o, o - () 9.346863 seconds
e, e - () 4.531738 seconds
f, p - () 6.581116 seconds
p, f - () 3.865356 seconds
d, d - () 4.28186 seconds
t, t - () 1.916077 seconds
l, d - () 8.247559 seconds
c, c - () 3.648438 seconds
z, z - () 1.966003 seconds
LetterTask12
e, e - () 3.998535 seconds
f, p - () 6.681091 seconds
p, p - () 3.715393 seconds
t, t - () 1.782837 seconds
z, z - () 1.266174 seconds
l, l - () 4.131897 seconds
c, c - () 3.532227 seconds
o, o - () 5.8479 seconds
d, d - () 2.999023 seconds
LetterTask25
f, f - () 3.315552 seconds
e, l - () 1.316162 seconds
o, o - () 2.399353 seconds
t, z - () 2.965576 seconds
p, p - () 3.165588 seconds
c, c - () 1.999634 seconds
d, d - () 2.732117 seconds
l, l - () 1.316162 seconds
z, z - () 1.216309 seconds
LetterTask5
f, f - () 4.198547 seconds
l, l - () 3.032349 seconds
t, t - () 2.032654 seconds
c, c - () 2.615784 seconds
d, d - () 2.632446 seconds
p, p - () 2.099243 seconds
o, o - () 3.198914 seconds
e, f - () 2.249207 seconds
z, z - () 1.566162 seconds
LetterTask24
o, o - () 2.365906 seconds
e, e - () 5.797974 seconds
p, p - () 9.196899 seconds
l, l - () 5.781433 seconds
c, c - () 2.815613 seconds
t, t - () 2.399292 seconds
d, d - () 10.19672 seconds
z, z - () 1.532715 seconds
f, f - () 5.06543 seconds
LetterTask4
f, f - () 2.149231 seconds
c, c - () 2.665771 seconds
l, l - () 0.9830322 seconds
z, z - () 1.36615 seconds
d, d - () 3.348999 seconds
e, e - () 1.915955 seconds
p, p - () 2.699097 seconds
t, t - () 2.915649 seconds
o, o - () 2.599121 seconds
LetterTask7
l, l - () 2.049316 seconds
p, p - () 1.982727 seconds
z, z - () 1.36615 seconds
t, t - () 3.11554 seconds
o, o - () 3.931885 seconds
e, f - () 2.299194 seconds
d, d - () 3.199036 seconds
c, c - () 2.632385 seconds
f, f - () 2.732422 seconds
LetterTask10
c, c - () 2.099548 seconds
l, l - () 2.098999 seconds
e, e - () 1.849365 seconds
t, t - () 1.749451 seconds
f, e - () 2.08252 seconds
o, o - () 2.815857 seconds
z, z - () 1.166199 seconds
p, p - () 2.632507 seconds
d, d - () 1.849304 seconds
LetterTask16
l, l - () 1.083008 seconds
p, p - () 1.182861 seconds
t, t - () 1.866028 seconds
e, e - () 1.632813 seconds
o, o - () 2.832397 seconds
z, z - () 1.232971 seconds
c, c - () 1.349548 seconds
d, d - () 1.682678 seconds
f, f - () 2.549194 seconds
LetterTask26
e, f - () 2.565796 seconds
z, z - () 1.632751 seconds
l, l - () 3.115662 seconds
d, d - () 1.499512 seconds
t, t - () 1.449524 seconds
o, o - () 2.915588 seconds
f, f - () 2.332642 seconds
p, p - () 1.416138 seconds
c, c - () 2.615845 seconds
LetterTask13
d, d - () 1.282837 seconds
e, e - () 2.482483 seconds
z, z - () 1.199646 seconds
f, f - () 2.432617 seconds
c, c - () 1.915894 seconds
o, o - () 1.999268 seconds
l, l - () 1.116333 seconds
p, p - () 2.382568 seconds
t, t - () 1.966003 seconds
LetterTask11
c, c - () 2.249207 seconds
l, l - () 1.016235 seconds
f, e - () 1.882751 seconds
o, o - () 2.865723 seconds
p, p - () 2.215942 seconds
d, d - () 1.582764 seconds
z, z - () 1.099609 seconds
e, e - () 1.28302 seconds
t, t - () 2.532349 seconds
LetterTask3
f, f - () 6.714417 seconds
l, l - () 4.431824 seconds
t, t - () 4.348572 seconds
d, d - () 3.998657 seconds
e, e - () 6.897644 seconds
o, o - () 4.531799 seconds
z, t - () 1.849426 seconds
p, p - () 6.847717 seconds
c, c - () 4.14856 seconds
