Start time: 6/17/2021 12:00:00 AM: 6/17/2021 4:35:01 PM
LetterTask1
t, t - () 8.184814 seconds
l, l - () 3.176376 seconds
e, e - () 3.809135 seconds
o, o - () 11.00603 seconds
p, p - () 4.175827 seconds
f, f - () 10.96153 seconds
d, d - () 3.987244 seconds
c, c - () 4.164139 seconds
z, z - () 9.629074 seconds
LetterTask4
t, t - () 7.285339 seconds
p, p - () 7.163452 seconds
l, l - () 5.886322 seconds
c, c - () 6.551575 seconds
f, f - () 8.285233 seconds
z, z - () 2.076843 seconds
d, d - () 5.386368 seconds
e, e - () 4.220139 seconds
o, o - () 9.062454 seconds
LetterTask23
d, d - () 3.931351 seconds
z, z - () 9.084518 seconds
f, e - () 5.275543 seconds
c, c - () 4.109253 seconds
o, d - () 7.263123 seconds
p, p - () 3.775909 seconds
t, t - () 5.363708 seconds
l, l - () 6.608704 seconds
e, e - () 5.763519 seconds
LetterTask26
e, e - () 9.373505 seconds
p, p - () 5.141998 seconds
l, l - () 3.909302 seconds
o, o - () 10.47241 seconds
d, d - () 9.961914 seconds
c, c - () 4.386719 seconds
t, t - () 8.018402 seconds
f, p - () 8.839905 seconds
z, z - () 3.409851 seconds
LetterTask17
p, p - () 12.5715 seconds
f, f - () 9.473358 seconds
l, l - () 3.520844 seconds
e, c - () 13.14929 seconds
z, z - () 2.75415 seconds
o, o - () 11.90546 seconds
d, d - () 7.773926 seconds
c, c - () 3.60965 seconds
t, t - () 7.551697 seconds
LetterTask18
o, p - () 8.962524 seconds
e, l - () 18.66833 seconds
p, f - () 11.30286 seconds
f, c - () 6.652039 seconds
t, t - () 4.676147 seconds
c, c - () 6.141479 seconds
z, o - () 7.740295 seconds
d, e - () 20.48999 seconds
l, t - () 22.80054 seconds
LetterTask21
d, t - () 29.33075 seconds
l, l - () 11.67218 seconds
e, d - () 20.58984 seconds
z, z - () 6.363586 seconds
c, o - () 21.9455 seconds
f, p - () 6.752319 seconds
o, d - () 10.03943 seconds
t, t - () 9.950623 seconds
p, e - () 8.551392 seconds
LetterTask11
p, p - () 4.042664 seconds
o, o - () 11.08331 seconds
d, d - () 3.709473 seconds
e, e - () 9.073242 seconds
l, l - () 10.13934 seconds
z, z - () 5.931519 seconds
t, t - () 10.43854 seconds
c, c - () 2.52124 seconds
f, f - () 20.67902 seconds
LetterTask9
d, z - () 6.375183 seconds
l, l - () 11.98291 seconds
c, z - () 6.307617 seconds
f, d - () 8.341125 seconds
z, t - () 5.641663 seconds
t, e - () 9.339539 seconds
p, d - () 12.72729 seconds
e, c - () 8.906616 seconds
o, e - () 9.106995 seconds
LetterTask14
e, e - () 5.486267 seconds
f, f - () 5.030762 seconds
p, p - () 6.841125 seconds
c, c - () 2.909851 seconds
z, z - () 3.609436 seconds
t, t - () 10.32831 seconds
o, o - () 9.195496 seconds
d, d - () 3.342346 seconds
l, l - () 2.032898 seconds
LetterTask24
d, l - () 20.8009 seconds
c, c - () 10.6178 seconds
e, p - () 19.65723 seconds
l, t - () 21.63354 seconds
o, z - () 6.785278 seconds
t, t - () 22.07874 seconds
p, e - () 18.7135 seconds
f, f - () 4.764038 seconds
z, z - () 6.263428 seconds
LetterTask15
l, l - () 11.69604 seconds
o, o - () 9.75061 seconds
e, e - () 13.61548 seconds
p, p - () 12.17261 seconds
d, d - () 6.085693 seconds
t, t - () 17.26941 seconds
f, c - () 5.464355 seconds
c, c - () 8.95105 seconds
z, z - () 4.664307 seconds
LetterTask13
o, o - () 4.753418 seconds
t, t - () 2.886841 seconds
d, d - () 3.054565 seconds
z, z - () 1.421753 seconds
l, l - () 1.420898 seconds
e, e - () 2.376953 seconds
c, c - () 2.588379 seconds
f, f - () 4.563477 seconds
p, p - () 2.709717 seconds
LetterTask19
l, l - () 2.01001 seconds
e, e - () 1.821411 seconds
d, d - () 3.754028 seconds
o, o - () 4.553223 seconds
t, t - () 8.1073 seconds
p, p - () 3.609131 seconds
f, f - () 2.776245 seconds
c, c - () 2.387817 seconds
z, z - () 1.387939 seconds
LetterTask5
d, d - () 8.029297 seconds
p, p - () 14.4375 seconds
e, e - () 8.062866 seconds
z, z - () 4.930786 seconds
c, c - () 10.57227 seconds
o, d - () 11.71692 seconds
t, t - () 5.087036 seconds
l, l - () 3.24231 seconds
f, f - () 12.32739 seconds
LetterTask2
o, d - () 13.47119 seconds
e, e - () 10.09521 seconds
c, c - () 17.78076 seconds
f, p - () 11.33826 seconds
t, t - () 13.96021 seconds
p, f - () 21.31213 seconds
z, z - () 8.617676 seconds
d, d - () 9.439941 seconds
l, l - () 6.019531 seconds
LetterTask20
l, l - () 6.72937 seconds
t, t - () 5.164429 seconds
p, p - () 7.918213 seconds
c, c - () 3.96521 seconds
o, d - () 7.940674 seconds
e, e - () 5.285889 seconds
d, d - () 6.019775 seconds
z, z - () 5.619263 seconds
f, f - () 4.009399 seconds
LetterTask8
z, z - () 7.507202 seconds
d, d - () 12.49414 seconds
l, l - () 6.097046 seconds
t, t - () 19.53528 seconds
e, e - () 12.08276 seconds
f, f - () 8.573608 seconds
c, c - () 6.730103 seconds
p, p - () 17.8916 seconds
o, o - () 6.718872 seconds
LetterTask27
f, p - () 24.04382 seconds
l, l - () 16.60315 seconds
e, d - () 5.819702 seconds
t, f - () 7.562866 seconds
d, z - () 4.04248 seconds
p, d - () 12.92712 seconds
o, o - () 6.907837 seconds
z, t - () 12.34937 seconds
c, c - () 7.985474 seconds
LetterTask3
f, p - () 7.152222 seconds
d, d - () 14.05933 seconds
e, o - () 10.07336 seconds
p, e - () 11.1499 seconds
t, t - () 4.720093 seconds
z, z - () 6.374512 seconds
l, f - () 7.718872 seconds
o, p - () 20.24524 seconds
c, c - () 8.740723 seconds
LetterTask25
d, d - () 3.687134 seconds
p, p - () 3.54187 seconds
z, z - () 2.465454 seconds
f, f - () 2.754272 seconds
e, e - () 3.264893 seconds
c, c - () 2.809814 seconds
t, t - () 7.851685 seconds
o, o - () 6.285889 seconds
l, l - () 2.132324 seconds
LetterTask12
o, p - () 17.34668 seconds
d, f - () 13.92712 seconds
c, f - () 25.10986 seconds
t, t - () 4.442383 seconds
e, l - () 7.174316 seconds
z, z - () 4.231445 seconds
p, d - () 27.02002 seconds
f, c - () 23.9104 seconds
l, o - () 12.19434 seconds
LetterTask10
p, p - () 2.62085 seconds
l, l - () 1.110596 seconds
o, o - () 4.197998 seconds
c, c - () 2.543213 seconds
e, e - () 3.109375 seconds
t, t - () 7.996338 seconds
z, z - () 1.510498 seconds
d, d - () 1.710205 seconds
f, f - () 2.865234 seconds
LetterTask6
z, t - () 8.307129 seconds
f, f - () 15.59204 seconds
t, z - () 5.664063 seconds
o, d - () 9.639648 seconds
l, l - () 7.474365 seconds
d, d - () 12.58252 seconds
e, p - () 7.452148 seconds
p, f - () 22.51123 seconds
c, c - () 4.031494 seconds
LetterTask16
e, e - () 4.70874 seconds
p, p - () 3.498535 seconds
o, o - () 4.730469 seconds
f, f - () 5.675049 seconds
d, d - () 3.054443 seconds
c, c - () 2.532471 seconds
l, l - () 1.643555 seconds
t, t - () 2.409912 seconds
z, z - () 5.252686 seconds
LetterTask22
o, o - () 4.153564 seconds
p, p - () 2.709961 seconds
c, c - () 2.321045 seconds
z, z - () 2.554443 seconds
e, e - () 1.599365 seconds
f, f - () 2.421143 seconds
d, d - () 2.75415 seconds
t, t - () 2.51001 seconds
l, l - () 1.421631 seconds
LetterTask7
l, l - () 3.376465 seconds
e, e - () 14.63745 seconds
d, d - () 5.508057 seconds
c, c - () 3.587891 seconds
f, f - () 7.17334 seconds
t, t - () 5.031006 seconds
o, o - () 5.019775 seconds
p, p - () 4.40918 seconds
z, z - () 3.842773 seconds
