Subject,Device,Rho,Lambda,Display,Time
1,headset_06x10,headset_100,headset_0050,headset,8.740614555555556
1,headset_06x10,headset_100,headset_1000,headset,6.829535777777778
1,headset_06x10,headset_100,headset_5000,headset,18.825656333333335
1,headset_06x10,headset_300,headset_0050,headset,20.734876222222223
1,headset_06x10,headset_300,headset_1000,headset,15.075710333333332
1,headset_06x10,headset_300,headset_5000,headset,14.942381666666664
1,headset_06x10,headset_500,headset_0050,headset,5.301757333333334
1,headset_06x10,headset_500,headset_1000,headset,10.136881666666667
1,headset_06x10,headset_500,headset_5000,headset,13.99794
1,headset_10x16,headset_100,headset_0050,headset,2.751790322222222
1,headset_10x16,headset_100,headset_1000,headset,2.748128333333333
1,headset_10x16,headset_100,headset_5000,headset,9.464681555555556
1,headset_10x16,headset_300,headset_0050,headset,2.0388455555555556
1,headset_10x16,headset_300,headset_1000,headset,3.505506777777778
1,headset_10x16,headset_300,headset_5000,headset,10.899835444444445
1,headset_10x16,headset_500,headset_0050,headset,2.2980957777777777
1,headset_10x16,headset_500,headset_1000,headset,2.6943901111111113
1,headset_10x16,headset_500,headset_5000,headset,17.32754111111111
1,headset_19x31,headset_100,headset_0050,headset,4.175855777777778
1,headset_19x31,headset_100,headset_1000,headset,2.972195222222222
1,headset_19x31,headset_100,headset_5000,headset,28.247757444444446
1,headset_19x31,headset_300,headset_0050,headset,2.93514
1,headset_19x31,headset_300,headset_1000,headset,3.7536620000000003
1,headset_19x31,headset_300,headset_5000,headset,12.122056777777779
1,headset_19x31,headset_500,headset_0050,headset,2.994411777777778
1,headset_19x31,headset_500,headset_1000,headset,5.598063666666666
1,headset_19x31,headset_500,headset_5000,headset,11.690591444444445
3,headset_06x10,headset_100,headset_0050,headset,16.829374444444444
3,headset_06x10,headset_100,headset_1000,headset,8.190607222222221
3,headset_06x10,headset_100,headset_5000,headset,20.812624444444445
3,headset_06x10,headset_300,headset_0050,headset,5.836968222222223
3,headset_06x10,headset_300,headset_1000,headset,5.016601555555556
3,headset_06x10,headset_300,headset_5000,headset,4.114746111111111
3,headset_06x10,headset_500,headset_0050,headset,10.41124922222222
3,headset_06x10,headset_500,headset_1000,headset,6.940632888888889
3,headset_06x10,headset_500,headset_5000,headset,7.835069444444445
3,headset_10x16,headset_100,headset_0050,headset,3.9351264444444447
3,headset_10x16,headset_100,headset_1000,headset,4.6832652222222215
3,headset_10x16,headset_100,headset_5000,headset,14.29606277777778
3,headset_10x16,headset_300,headset_0050,headset,3.174018222222222
3,headset_10x16,headset_300,headset_1000,headset,3.1055094444444444
3,headset_10x16,headset_300,headset_5000,headset,10.373915333333334
3,headset_10x16,headset_500,headset_0050,headset,3.407362111111111
3,headset_10x16,headset_500,headset_1000,headset,3.9980739999999995
3,headset_10x16,headset_500,headset_5000,headset,9.679483333333334
3,headset_19x31,headset_100,headset_0050,headset,4.283263999999999
3,headset_19x31,headset_100,headset_1000,headset,2.8980983333333334
