Subject,Device,Rho,Lambda,Display,Number_Collisions
1,headset_06x10,headset_100,headset_0050,headset,3.0
1,headset_06x10,headset_100,headset_0050,headset,2.0
1,headset_06x10,headset_100,headset_0050,headset,1.0
1,headset_06x10,headset_100,headset_0050,headset,1.0
1,headset_06x10,headset_100,headset_1000,headset,3.0
1,headset_06x10,headset_100,headset_1000,headset,1.0
1,headset_06x10,headset_100,headset_1000,headset,2.0
1,headset_06x10,headset_100,headset_1000,headset,2.0
1,headset_06x10,headset_100,headset_5000,headset,3.0
1,headset_06x10,headset_100,headset_5000,headset,2.0
1,headset_06x10,headset_100,headset_5000,headset,2.0
1,headset_06x10,headset_100,headset_5000,headset,2.0
1,headset_06x10,headset_300,headset_0050,headset,1.0
1,headset_06x10,headset_300,headset_0050,headset,2.0
1,headset_06x10,headset_300,headset_0050,headset,1.0
1,headset_06x10,headset_300,headset_0050,headset,1.0
1,headset_06x10,headset_300,headset_1000,headset,1.0
1,headset_06x10,headset_300,headset_1000,headset,2.0
1,headset_06x10,headset_300,headset_1000,headset,1.0
1,headset_06x10,headset_300,headset_1000,headset,2.0
1,headset_06x10,headset_300,headset_1000,headset,2.0
1,headset_06x10,headset_300,headset_1000,headset,3.0
1,headset_06x10,headset_300,headset_5000,headset,1.0
1,headset_06x10,headset_300,headset_5000,headset,2.0
1,headset_06x10,headset_300,headset_5000,headset,1.0
1,headset_06x10,headset_300,headset_5000,headset,1.0
1,headset_06x10,headset_500,headset_0050,headset,3.0
1,headset_06x10,headset_500,headset_0050,headset,1.0
1,headset_06x10,headset_500,headset_0050,headset,1.0
1,headset_06x10,headset_500,headset_0050,headset,2.0
1,headset_06x10,headset_500,headset_0050,headset,1.0
1,headset_06x10,headset_500,headset_0050,headset,1.0
1,headset_06x10,headset_500,headset_1000,headset,1.0
1,headset_06x10,headset_500,headset_1000,headset,2.0
1,headset_06x10,headset_500,headset_1000,headset,1.0
1,headset_06x10,headset_500,headset_1000,headset,1.0
1,headset_06x10,headset_500,headset_5000,headset,1.0
1,headset_06x10,headset_500,headset_5000,headset,3.0
1,headset_06x10,headset_500,headset_5000,headset,1.0
1,headset_06x10,headset_500,headset_5000,headset,1.0
1,headset_06x10,headset_500,headset_5000,headset,1.0
1,headset_06x10,headset_500,headset_5000,headset,1.0
1,headset_10x16,headset_100,headset_0050,headset,1.0
1,headset_10x16,headset_100,headset_0050,headset,1.0
1,headset_10x16,headset_100,headset_0050,headset,2.0
