0, 1
0.06732178(0.1, 1.5, -2.8)
0.5777588(0.1, 1.5, -2.7)
1.088776(0.1, 1.5, -2.7)
1.588898(0.1, 1.5, -2.7)
2.099609(0.1, 1.5, -2.7)
2.610046(0.1, 1.5, -2.7)
3.120911(0.0, 1.5, -2.7)
3.621277(0.0, 1.5, -2.7)
4.132721(0.0, 1.5, -2.8)
4.643127(0.0, 1.5, -2.8)
5.15329(0.1, 1.5, -2.8)
5.653595(0.0, 1.5, -2.8)
6.164337(0.0, 1.5, -2.8)
6.664429(0.0, 1.5, -2.8)
7.174255(0.0, 1.5, -3.0)
7.675049(-0.2, 1.5, -3.1)
8.185944(-0.2, 1.5, -3.1)
8.696655(-0.2, 1.5, -3.1)
9.207092(0.0, 1.5, -3.1)
9.717987(0.1, 1.5, -3.2)
10.22864(0.2, 1.5, -3.4)
10.73944(0.3, 1.5, -3.6)
11.25006(0.3, 1.5, -3.7)
11.75021(0.2, 1.5, -3.8)
12.25031(0.2, 1.5, -3.7)
12.76068(0.1, 1.5, -3.7)
13.26105(0.0, 1.5, -3.7)
13.76108(0.0, 1.5, -3.7)
14.27173(0.0, 1.5, -3.6)
14.78223(0.0, 1.5, -3.6)
15.29367(0.0, 1.5, -3.6)
15.80423(0.0, 1.5, -3.6)
16.31427(0.1, 1.5, -3.5)
16.81433(0.1, 1.5, -3.4)
17.31473(0.0, 1.5, -3.3)
17.82547(0.0, 1.5, -3.3)
18.33603(-0.1, 1.5, -3.2)
18.84695(-0.2, 1.5, -3.3)
19.34711(-0.3, 1.5, -3.4)
19.85794(-0.3, 1.5, -3.4)
20.36856(-0.2, 1.5, -3.3)
20.8793(-0.2, 1.5, -3.3)
21.39014(-0.2, 1.5, -3.3)
21.89038(-0.2, 1.5, -3.3)
22.40125(-0.3, 1.5, -3.3)
22.91153(-0.3, 1.5, -3.3)
23.41156(-0.3, 1.5, -3.3)
23.91162(-0.3, 1.5, -3.3)
24.42252(-0.3, 1.5, -3.3)
24.93304(-0.3, 1.5, -3.3)
25.43381(-0.3, 1.5, -3.3)
25.94327(-0.3, 1.5, -3.3)
26.45435(-0.2, 1.5, -3.3)
26.95465(-0.2, 1.5, -3.3)
27.4653(-0.2, 1.5, -3.3)
27.97562(-0.2, 1.5, -3.3)
28.48639(-0.2, 1.5, -3.3)
28.98712(-0.2, 1.5, -3.3)
29.49753(-0.2, 1.5, -3.3)
30.00876(-0.2, 1.5, -3.3)
30.51944(-0.2, 1.5, -3.3)
31.03003(-0.3, 1.5, -3.3)
31.53064(-0.3, 1.5, -3.3)
32.04117(-0.3, 1.5, -3.3)
32.55185(-0.3, 1.5, -3.3)
33.06293(-0.3, 1.5, -3.3)
33.57355(-0.3, 1.5, -3.3)
34.08392(-0.3, 1.5, -3.3)
34.58395(-0.3, 1.5, -3.3)
35.08398(-0.3, 1.5, -3.4)
35.59485(-0.5, 1.5, -3.4)
36.10571(-0.5, 1.5, -3.5)
36.61627(-0.7, 1.5, -3.5)
37.12711(-0.8, 1.5, -3.6)
37.63782(-0.8, 1.5, -3.6)
38.138(-0.8, 1.5, -3.6)
38.64899(-0.8, 1.5, -3.7)
39.16003(-0.9, 1.5, -3.7)
39.67068(-0.9, 1.5, -3.7)
40.18115(-0.9, 1.5, -3.7)
40.69229(-1.0, 1.5, -3.8)
41.20291(-0.9, 1.5, -3.8)
41.70303(-1.0, 1.5, -3.8)
42.21353(-1.0, 1.5, -3.9)
42.72437(-1.0, 1.5, -3.9)
43.2244(-0.9, 1.5, -4.0)
43.73511(-0.8, 1.5, -4.1)
44.24579(-0.8, 1.5, -4.4)
44.74594(-0.7, 1.5, -4.6)
45.25687(-0.6, 1.5, -4.8)
45.76743(-0.6, 1.5, -5.1)
46.27838(-0.5, 1.5, -5.4)
46.77856(-0.4, 1.5, -5.7)
47.28882(-0.2, 1.5, -5.8)
47.79947(0.0, 1.5, -5.9)
48.30969(0.1, 1.5, -6.1)
48.81006(0.3, 1.5, -6.1)
49.31049(0.3, 1.5, -6.2)
49.8208(0.4, 1.5, -6.3)
50.33127(0.4, 1.5, -6.4)
50.83148(0.4, 1.5, -6.7)
51.34216(0.5, 1.5, -7.0)
51.85297(0.5, 1.5, -7.3)
52.35355(0.5, 1.5, -7.5)
52.86414(0.5, 1.5, -7.8)
53.36417(0.5, 1.5, -8.1)
53.87418(0.5, 1.5, -8.3)
54.38492(0.4, 1.5, -8.5)
54.8959(0.4, 1.5, -8.6)
55.39594(0.5, 1.5, -8.7)
55.90668(0.4, 1.5, -8.9)
56.4173(0.5, 1.5, -9.0)
56.91779(0.6, 1.5, -9.0)
0, 2
0.3332825(0.5, 1.5, 2.7)
0.8432007(0.6, 1.5, 2.7)
1.343964(0.6, 1.5, 2.8)
1.854401(0.6, 1.5, 2.9)
2.365417(0.6, 1.4, 2.9)
2.865448(0.4, 1.5, 2.9)
3.376129(0.4, 1.5, 2.9)
3.887177(0.3, 1.4, 3.0)
4.39801(0.1, 1.4, 3.1)
4.90863(0.0, 1.5, 3.2)
5.408691(-0.2, 1.5, 3.3)
5.919189(-0.2, 1.5, 3.4)
6.419281(-0.3, 1.4, 3.5)
6.930084(-0.4, 1.5, 3.5)
7.440643(-0.5, 1.5, 3.6)
7.95166(-0.6, 1.4, 3.6)
8.462555(-0.6, 1.4, 3.7)
8.973358(-0.6, 1.5, 3.9)
9.484253(-0.6, 1.5, 4.3)
9.984283(-0.6, 1.5, 4.7)
10.49493(-0.7, 1.5, 5.1)
11.0054(-0.7, 1.4, 5.6)
