0, 1
0.06732178(356.2, 342.5, 1.0)
0.5777588(356.0, 345.6, 2.7)
1.088776(355.2, 342.9, 2.2)
1.588898(355.4, 344.8, 2.4)
2.099609(354.3, 336.2, 3.3)
2.610046(354.1, 326.9, 4.9)
3.120911(356.3, 310.8, 4.4)
3.621277(356.1, 271.5, 6.6)
4.132721(356.0, 203.0, 6.9)
4.643127(355.2, 182.7, 5.2)
5.15329(355.4, 184.7, 2.9)
5.653595(356.0, 205.6, 4.1)
6.164337(355.0, 207.9, 4.8)
6.664429(357.7, 202.5, 3.8)
7.174255(357.1, 199.9, 2.4)
7.675049(355.5, 198.3, 5.0)
8.185944(354.8, 193.9, 5.3)
8.696655(355.8, 174.6, 6.0)
9.207092(359.4, 160.9, 3.9)
9.717987(357.0, 161.8, 3.4)
10.22864(358.4, 160.6, 4.2)
10.73944(357.1, 162.6, 4.0)
11.25006(354.3, 169.2, 3.7)
11.75021(356.5, 192.9, 359.3)
12.25031(357.7, 200.8, 0.9)
12.76068(358.0, 192.8, 2.9)
13.26105(1.6, 180.9, 1.5)
13.76108(357.8, 170.5, 1.6)
14.27173(357.8, 185.2, 1.8)
14.78223(356.8, 185.2, 1.7)
15.29367(354.8, 183.8, 3.0)
15.80423(356.9, 180.9, 4.5)
16.31427(356.0, 170.0, 2.6)
16.81433(354.9, 165.3, 3.2)
17.31473(354.2, 173.1, 5.3)
17.82547(358.3, 184.7, 3.5)
18.33603(359.0, 193.3, 3.7)
18.84695(356.4, 191.6, 5.3)
19.34711(355.9, 193.7, 6.1)
19.85794(359.2, 191.4, 4.5)
20.36856(357.5, 185.9, 4.7)
20.8793(356.9, 183.4, 3.8)
21.39014(357.4, 181.2, 3.4)
21.89038(357.3, 178.0, 3.3)
22.40125(357.3, 176.2, 2.8)
22.91153(356.9, 175.7, 2.2)
23.41156(356.5, 175.7, 2.4)
23.91162(356.4, 175.7, 2.4)
24.42252(356.1, 175.7, 3.0)
24.93304(356.2, 175.9, 3.0)
25.43381(355.5, 176.0, 3.2)
25.94327(356.0, 175.9, 3.4)
26.45435(355.9, 174.2, 3.4)
26.95465(354.8, 173.8, 4.0)
27.4653(354.2, 173.3, 4.0)
27.97562(354.1, 173.3, 3.9)
28.48639(353.8, 174.3, 4.1)
28.98712(353.9, 176.0, 2.4)
29.49753(355.3, 178.1, 2.4)
30.00876(355.7, 177.5, 2.3)
30.51944(355.1, 177.5, 2.5)
31.03003(353.9, 175.5, 2.8)
31.53064(354.7, 175.4, 3.0)
32.04117(355.2, 176.5, 3.6)
32.55185(354.9, 177.7, 4.2)
33.06293(354.8, 179.5, 4.2)
33.57355(355.6, 179.6, 4.5)
34.08392(354.4, 185.6, 3.7)
34.58395(358.0, 191.2, 3.5)
35.08398(357.3, 196.5, 1.9)
35.59485(352.8, 189.1, 7.4)
36.10571(353.0, 193.7, 4.7)
36.61627(355.3, 189.3, 4.7)
37.12711(354.8, 186.6, 5.9)
37.63782(355.0, 183.6, 6.9)
38.138(355.7, 185.1, 5.3)
38.64899(354.8, 185.7, 5.5)
39.16003(352.9, 180.1, 6.7)
39.67068(354.3, 182.8, 5.9)
40.18115(355.6, 185.0, 4.2)
40.69229(354.7, 186.6, 3.6)
41.20291(354.1, 188.3, 2.9)
41.70303(353.8, 185.1, 6.0)
42.21353(353.7, 182.7, 9.5)
42.72437(354.9, 179.0, 6.8)
43.2244(354.8, 177.0, 5.7)
43.73511(355.8, 178.1, 4.1)
44.24579(355.3, 177.9, 5.1)
44.74594(357.2, 176.8, 5.5)
45.25687(357.9, 175.4, 3.1)
45.76743(357.6, 172.7, 5.0)
46.27838(359.5, 170.7, 3.8)
46.77856(359.5, 162.3, 5.2)
47.28882(359.2, 158.1, 4.4)
47.79947(358.5, 160.5, 1.9)
48.30969(354.9, 164.5, 1.7)
48.81006(354.2, 169.0, 359.6)
49.31049(353.6, 171.1, 1.0)
49.8208(356.3, 176.6, 0.9)
50.33127(357.6, 183.8, 1.0)
50.83148(357.6, 182.2, 2.8)
51.34216(357.4, 179.7, 2.2)
51.85297(355.9, 171.6, 4.4)
52.35355(356.6, 169.8, 3.0)
52.86414(352.7, 167.3, 4.2)
53.36417(352.1, 162.6, 3.8)
53.87418(355.9, 164.6, 2.1)
54.38492(354.0, 160.8, 4.6)
54.8959(355.8, 159.4, 2.9)
55.39594(356.7, 157.8, 3.3)
55.90668(354.3, 158.8, 4.7)
56.4173(356.9, 164.0, 2.3)
56.91779(357.0, 161.0, 2.1)
0, 2
0.3332825(355.9, 165.8, 2.9)
0.8432007(356.9, 132.4, 2.6)
1.343964(0.3, 68.2, 4.9)
1.854401(1.0, 12.5, 6.2)
2.365417(0.5, 355.2, 5.6)
2.865448(359.0, 339.3, 5.5)
3.376129(359.2, 329.9, 6.4)
3.887177(358.9, 333.4, 4.0)
4.39801(357.6, 340.7, 4.0)
4.90863(354.1, 343.5, 4.4)
5.408691(353.0, 350.1, 0.1)
5.919189(354.6, 349.0, 4.5)
6.419281(354.6, 352.6, 1.7)
6.930084(354.3, 349.1, 4.6)
7.440643(355.3, 352.0, 2.7)
7.95166(353.9, 357.2, 2.1)
8.462555(357.0, 1.1, 2.6)
8.973358(356.2, 359.0, 3.9)
9.484253(355.0, 359.1, 4.0)
9.984283(354.5, 358.6, 6.0)
10.49493(356.8, 358.7, 4.7)
11.0054(355.1, 359.3, 4.2)
11.51584(354.9, 358.8, 3.4)
12.0166(355.5, 0.7, 3.7)
12.52701(357.4, 359.0, 4.5)
