0,0
0,1
0,2
9.8479(0.6, -32.9, 3.5)
34.54791(0.7, -35.6, 3.5)
44.33679(0.7, -36.7, 8.4)
0,3
28.34805(0.7, -40.0, -3.6)
53.02585(0.3, -42.6, -8.4)
0,4
38.08673(-0.2, -47.2, 6.2)
41.93115(-0.2, -47.7, 6.0)
43.39783(-0.2, -47.8, 6.3)
52.0423(-0.1, -48.7, 8.4)
0,5
9.602722(-0.5, -50.3, -3.5)
34.71387(-0.7, -52.9, -8.3)
1,0
27.69946(-0.2, -56.4, 8.4)
30.99945(-0.2, -56.9, 8.5)
1,1
10.56488(-0.5, -58.3, -3.5)
33.38708(-0.5, -60.7, -8.3)
1,2
8.863586(-0.7, -62.9, 3.5)
32.59692(-0.3, -65.5, 8.3)
1,3
33.92615(-0.9, -69.7, -8.3)
1,4
18.46674(-0.1, -72.2, 8.2)
1,5
14.01086(-0.7, -74.2, -5.9)
22.34418(-0.9, -75.1, -8.5)
25.77753(-0.9, -75.5, -9.1)
2,0
23.46796(-0.3, -78.1, 5.9)
32.47906(-0.1, -79.1, 8.3)
2,1
6.910583(-0.5, -80.2, -3.6)
14.58838(0.1, -81.1, -5.9)
2,2
22.23407(-0.7, -84.6, 5.9)
33.97852(-0.3, -85.9, 8.8)
2,3
39.43939(-0.1, -90.5, -5.7)
51.46161(-0.3, -91.6, -8.4)
2,4
17.89935(-0.5, -94.0, 3.5)
30.17712(-0.6, -95.4, 3.3)
2,5
7.871826(-0.4, -99.2, -3.5)
24.70508(-0.5, -101.0, -8.4)
3,0
25.50659(-0.4, -104.1, 6.0)
33.70667(-0.1, -105.0, 8.4)
3,1
12.19983(-0.5, -106.7, -3.5)
3,2
9.585693(0.2, -110.7, 4.1)
13.38574(0.1, -111.2, 4.2)
20.49683(-0.2, -111.9, 5.9)
21.56348(-0.4, -112.0, 5.9)
3,3
21.66016(0.8, -116.5, -3.6)
30.69348(0.9, -117.5, -3.5)
33.16016(0.8, -117.8, -3.4)
35.59351(0.8, -118.0, -3.5)
47.03796(0.2, -119.2, -8.5)
3,4
8.594849(0.6, -120.3, 3.6)
14.15051(0.5, -121.0, 6.0)
3,5
11.58423(0.9, -123.3, -3.6)
16.61768(0.6, -123.8, -5.9)
4,0
12.19666(0.0, -126.2, 3.4)
4,1
28.38074(0.5, -131.9, -6.0)
33.18066(0.4, -132.4, -7.1)
34.42517(0.4, -132.7, -7.3)
38.56958(0.3, -133.0, -8.4)
4,2
6.844604(0.7, -134.0, 3.5)
4,3
11.28894(0.5, -136.9, -5.9)
4,4
4,5
10.7644(0.9, -143.9, -3.7)
14.98657(0.9, -144.3, -4.0)
5,0
5,1
20(0.4, -152.9, -6.0)
5,2
10.42603(0.9, -155.3, 6.0)
26.70386(0.8, -157.2, 8.5)
5,3
