1,0
52.84889(0.3, 0.0, 2.8)
1,1
51.34266(0.1, -10.0, -6.3)
1,2
8.153351(0.0, -12.6, 3.7)
17.40891(0.0, -13.6, 5.9)
34.86447(0.0, -15.5, 9.0)
1,3
7.51445(-0.3, -16.3, -3.6)
25.45889(-0.1, -18.2, -8.5)
27.17(-0.1, -18.4, -8.6)
1,4
14.22849(-0.8, -20.2, 5.9)
1,5
4.86116(-0.8, -21.5, -3.6)
16.0056(-0.5, -22.7, -8.4)
2,0
7.180786(-0.2, -23.7, 3.8)
2,1
5.00119(-0.4, -25.6, -3.6)
17.71228(0.3, -27.0, -8.5)
2,2
5.821381(0.7, -27.8, 3.5)
10.51025(0.2, -28.3, 5.9)
2,3
17.52951(-0.2, -30.9, -8.8)
2,4
5.093811(0.1, -31.5, 3.5)
9.360474(0.1, -32.0, 6.0)
14.01602(0.1, -32.5, 8.5)
2,5
7.923859(0.1, -33.5, -6.0)
12.36829(0.2, -34.0, -8.5)
3,0
6.25235(0.3, -34.8, 3.4)
11.38568(-0.4, -35.4, 5.9)
15.30789(-0.5, -35.8, 8.3)
3,1
3,2
3,3
12.10638(-0.2, -40.4, -8.3)
3,4
4.279999(-0.1, -41.1, 3.4)
3,5
10.85382(-0.2, -43.3, -5.9)
14.36493(0.0, -43.7, -8.4)
4,0
4.460846(-0.1, -44.3, 3.4)
7.883087(0.1, -44.7, 6.0)
10.87198(-0.3, -45.0, 8.3)
4,1
3.433228(-0.2, -45.6, -3.6)
6.666565(-0.1, -45.9, -6.0)
9.966553(0.0, -46.2, -8.5)
4,2
2.561218(-0.2, -46.6, 3.5)
4,3
2.976593(-0.1, -47.8, -3.7)
5.843262(-0.1, -48.1, -5.9)
9.298828(-0.1, -48.4, -8.5)
4,4
3.270813(-0.2, -49.0, 3.5)
4,5
2.942749(0.0, -50.1, -3.7)
5,0
4.414429(0.1, -51.4, 3.5)
5,1
8.491821(0.5, -53.2, -8.5)
5,2
9.662842(-0.5, -54.4, 8.3)
5,3
2.201111(-0.4, -54.7, -3.6)
5,4
3.80603(-0.1, -56.0, 3.6)
5,5
5.977905(0.2, -57.4, -6.5)
6,0
6,1
6,2
4.091187(0.0, -60.5, 3.5)
10.71344(-0.6, -61.2, 8.3)
6,3
6.041748(0.0, -62.0, -6.1)
6,4
3.380371(0.0, -62.9, 3.6)
8.924805(-0.7, -63.5, 8.3)
6,5
2.451477(-0.5, -63.9, -3.6)
5.42926(0.0, -64.2, -5.9)
7,0
4.078003(0.1, -65.1, 3.5)
10.2558(-0.6, -65.8, 8.4)
7,1
5.439331(0.2, -66.5, -6.2)
8.09491(0.3, -66.8, -8.4)
7,2
9.143921(-0.5, -67.9, 5.9)
11.89948(-0.6, -68.2, 8.3)
7,3
3.272217(-0.2, -68.6, -3.6)
6.383362(0.2, -69.0, -6.2)
7,4
9.165833(-0.7, -70.4, 8.3)
7,5
5.304199(0.0, -71.1, -6.0)
8,0
5.83136(0.2, -72.2, 3.5)
8.898071(-0.1, -72.5, 5.9)
8,1
6.412537(-0.1, -73.7, -6.0)
8,2
4.572693(0.0, -74.6, 3.5)
7.561584(-0.1, -74.9, 6.1)
8,3
3.046021(-0.3, -75.9, -3.6)
5.779358(0.1, -76.2, -6.0)
8.423767(0.3, -76.5, -8.4)
8,4
2.972656(0.0, -76.9, 3.5)
5.528198(-0.2, -77.2, 5.9)
8,5
3.05481(-0.4, -77.9, -3.8)
5.565918(0.1, -78.2, -6.1)
8.05481(0.4, -78.4, -8.4)
9,0
9.148315(-0.3, -79.5, 5.9)
11.87054(-0.6, -79.9, 8.3)
9,1
3.657776(-0.2, -80.4, -4.2)
5.513306(0.1, -80.6, -6.0)
9,2
3.184692(0.1, -81.4, 3.5)
9,3
2.156006(-0.4, -82.3, -3.6)
9,4
3.515503(0.1, -83.4, 3.9)
5.959961(-0.5, -83.7, 5.9)
9,5
10,0
6.224548(-0.3, -85.7, 5.8)
10,1
6.229736(0.2, -86.9, -6.2)
10,2
2.379333(0.0, -87.6, 3.5)
7.834839(-0.7, -88.2, 8.3)
10,3
8.405884(0.4, -89.2, -8.3)
10,4
2.576904(0.1, -89.6, 3.5)
5.143555(-0.3, -89.9, 5.9)
10,5
7.936707(0.5, -91.2, -8.4)
11,0
3.752625(0.1, -91.7, 3.5)
11,1
2.426636(-0.4, -92.7, -3.6)
7.848877(0.5, -93.2, -8.4)
11,2
3.13623(0.2, -93.7, 3.8)
11,3
5.335022(0.1, -95.0, -6.0)
11,4
3.695557(0.0, -95.8, 3.4)
6.495544(-0.5, -96.1, 5.9)
9.462219(-0.8, -96.4, 8.3)
11,5
5.711243(0.1, -97.2, -6.0)
12,0
