0,0
0,1
10.5184(0.3, -25.1, -3.6)
15.12952(0.0, -25.6, -3.7)
0,2
0,3
34.2323(0.0, -35.9, -3.7)
53.61008(-0.6, -38.0, -5.9)
0,4
28.78268(-0.1, -43.1, 5.8)
36.54935(-0.8, -43.9, 5.9)
39.50491(-0.8, -44.3, 6.0)
53.17154(-1.2, -45.7, 8.7)
57.44931(-1.1, -46.0, 8.5)
0,5
1,0
45.29547(0.3, -60.4, 3.5)
47.80658(0.2, -60.7, 3.6)
48.96216(0.2, -60.8, 3.6)
50.83997(0.1, -61.0, 3.6)
1,1
1,2
8.721558(0.5, -69.5, 3.5)
16.92157(0.8, -70.4, 3.6)
31.24377(0.0, -72.0, 3.5)
1,3
25.04803(-1.0, -77.3, -3.8)
1,4
29.75226(0.3, -83.8, 6.4)
31.50781(0.2, -84.0, 6.2)
32.75226(0.2, -84.2, 6.6)
1,5
10.4848(0.2, -86.5, -3.5)
14.45148(0.1, -87.0, -4.1)
2,0
28.41351(-0.7, -92.4, 6.0)
45.98016(0.2, -94.4, 6.1)
49.59125(0.3, -94.8, 6.1)
52.73572(-0.2, -95.1, 6.0)
55.49127(-0.4, -95.4, 6.0)
2,1
4.864258(-0.9, -97.2, -3.6)
16.05316(-0.7, -98.4, -3.5)
2,2
2,3
13.1178(-0.1, -107.4, -3.9)
23.26221(0.2, -108.5, -5.9)
27.19556(0.2, -108.9, -6.0)
39.42896(-0.6, -110.3, -8.3)
2,4
21.05212(-0.6, -113.6, 3.6)
2,5
8.748535(-0.9, -116.4, -3.9)
23.95972(-0.6, -118.0, -8.3)
27.59302(-0.1, -118.5, -8.3)
29.12634(0.1, -118.6, -8.5)
3,0
6.964478(-0.6, -119.7, 3.5)
31.78662(0.2, -122.4, 8.4)
3,1
12.62854(-0.9, -124.8, -3.9)
19.59521(-0.8, -125.6, -6.0)
27.75073(-0.6, -126.5, -8.4)
3,2
17.32166(0.6, -128.8, 3.6)
20.52161(0.3, -129.2, 3.6)
31.45496(-0.8, -130.4, 6.0)
42.29944(0.4, -131.5, 6.5)
3,3
23.7572(0.4, -135.1, -5.9)
3,4
21.24646(-0.1, -139.9, 6.6)
30.92419(-1.0, -140.9, 8.6)
3,5
11.61023(0.1, -143.3, -3.5)
22.97693(-1.0, -144.5, -5.9)
30.58801(-0.7, -145.4, -8.4)
4,0
38.6145(-0.7, -149.8, 6.0)
41.3479(-0.2, -150.1, 6.0)
4,1
49.58752(-0.3, -157.4, -8.3)
4,2
24.30164(0.2, -160.4, 6.2)
28.2572(0.2, -160.8, 6.5)
36.06836(0.1, -161.7, 8.6)
4,3
23.5647(-0.5, -164.5, -5.9)
25.20923(-0.5, -164.7, -5.9)
26.57581(-0.5, -164.8, -5.9)
4,4
28.10449(0.1, -169.3, 6.0)
34.63782(0.0, -170.0, 8.4)
4,5
23.8999(0.2, -172.9, -6.0)
33.82214(0.5, -174.0, -8.3)
5,0
18.40198(0.0, -176.6, 6.0)
23.97974(-0.2, -177.2, 8.4)
5,1
12.31409(-1.1, -178.7, -4.0)
29.16968(0.3, -180.6, -8.4)
5,2
9.085571(0.9, -182.0, 3.6)
12.78552(0.9, -182.4, 3.6)
14.05225(0.9, -182.6, 3.6)
17.27441(0.8, -182.8, 3.6)
5,3
5,4
40.73218(0.5, -2.1, 1.1)
5,4
5,5
27.49742(-0.5, -8.1, -8.4)
31.83076(-0.1, -8.6, -8.4)
6,0
22.74002(0.2, -11.8, 6.0)
49.78448(0.2, -14.8, 8.5)
6,1
11.99014(0.1, -17.0, -3.5)
6,2
6,3
11.88034(0.4, -27.3, -5.9)
27.40256(-0.5, -29.0, -8.4)
6,4
6,5
14.17538(-1.0, -33.8, -4.0)
27.20874(-0.7, -35.3, -8.4)
7,0
4.989319(-0.8, -36.0, 3.6)
34.08929(0.4, -39.2, 8.5)
7,1
11.54095(0.4, -40.8, -6.0)
22.79651(-0.6, -42.0, -8.4)
7,2
6.630371(-0.6, -42.9, 3.6)
22.29706(0.3, -44.6, 8.5)
7,3
7,4
18.73639(0.4, -50.6, 6.0)
32.63635(-0.1, -52.1, 8.6)
