Start time: 7/24/2021 12:00:00 AM: 7/24/2021 2:17:18 PM
LetterTask1
c, c - () 5.533264 seconds
d, d - () 3.316605 seconds
l, l - () 2.599945 seconds
z, z - () 2.983292 seconds
e, e - () 6.316574 seconds
p, p - () 3.416626 seconds
o, o - () 3.566605 seconds
t, t - () 2.616623 seconds
f, f - () 2.899963 seconds
LetterTask10
z, z - () 23.34962 seconds
c, c - () 53.71579 seconds
d, o - () 28.88287 seconds
l, l - () 16.34976 seconds
e, e - () 8.633148 seconds
f, f - () 7.766571 seconds
p, p - () 7.933197 seconds
t, t - () 38.96606 seconds
o, c - () 29.46204 seconds
LetterTask14
e, e - () 3.399963 seconds
c, c - () 3.049957 seconds
t, t - () 3.366608 seconds
f, f - () 2.199951 seconds
o, o - () 4.266602 seconds
z, z - () 2.583313 seconds
d, d - () 5.299896 seconds
l, l - () 5.88324 seconds
p, p - () 3.566589 seconds
LetterTask12
l, c - () 13.48315 seconds
p, l - () 9.799866 seconds
d, d - () 5.049866 seconds
z, t - () 5.216614 seconds
t, t - () 17.71637 seconds
c, o - () 7.733215 seconds
e, p - () 9.949829 seconds
f, z - () 22.54968 seconds
o, d - () 7.283203 seconds
LetterTask17
o, o - () 3.133301 seconds
l, l - () 1.716614 seconds
d, d - () 3.849976 seconds
e, e - () 3.816589 seconds
c, c - () 2.616638 seconds
t, t - () 2.266602 seconds
p, p - () 5.833252 seconds
f, f - () 5.783264 seconds
z, z - () 2.549988 seconds
LetterTask20
o, e - () 17.34973 seconds
e, z - () 19.53302 seconds
t, d - () 19.19971 seconds
d, d - () 10.83313 seconds
z, c - () 12.69983 seconds
p, p - () 13.24976 seconds
l, l - () 8.566528 seconds
f, f - () 19.89972 seconds
c, p - () 19.43304 seconds
LetterTask15
o, o - () 5.816589 seconds
f, p - () 38.49939 seconds
d, d - () 30.14954 seconds
p, f - () 14.56647 seconds
z, z - () 5.583252 seconds
c, o - () 17.89966 seconds
e, t - () 17.89978 seconds
t, t - () 6.583252 seconds
l, e - () 6.633179 seconds
LetterTask24
f, p - () 22.68298 seconds
d, d - () 14.06653 seconds
z, t - () 10.06653 seconds
l, p - () 11.88318 seconds
e, c - () 27.91614 seconds
p, e - () 14.68311 seconds
t, t - () 17.78308 seconds
o, o - () 2.937134 seconds
c, o - () 10.5293 seconds
LetterTask11
l, l - () 1.949951 seconds
c, c - () 7.433228 seconds
f, f - () 4.81665 seconds
z, z - () 2.966675 seconds
d, d - () 4.966553 seconds
o, o - () 5.666504 seconds
t, t - () 6.899902 seconds
p, p - () 4.216675 seconds
e, e - () 3.166626 seconds
LetterTask13
l, l - () 1.283325 seconds
t, t - () 1.666626 seconds
c, c - () 2.016602 seconds
z, z - () 2.06665 seconds
o, o - () 2.366699 seconds
e, e - () 2.749878 seconds
f, f - () 3.099976 seconds
d, d - () 2.766602 seconds
p, p - () 2.650024 seconds
LetterTask23
z, z - () 6.516602 seconds
d, d - () 3.833252 seconds
l, l - () 2.783325 seconds
f, f - () 3.716553 seconds
o, o - () 13.71643 seconds
t, t - () 4.133301 seconds
p, p - () 3.31665 seconds
e, e - () 3.783203 seconds
c, c - () 3.966675 seconds
LetterTask27
z, z - () 11.98315 seconds
d, p - () 39.14941 seconds
l, t - () 38.11609 seconds
p, o - () 22.51624 seconds
t, p - () 15.01648 seconds
e, c - () 9.133179 seconds
c, o - () 45.14929 seconds
o, t - () 31.23291 seconds
f, d - () 6.216553 seconds
LetterTask21
z, p - () 7.766602 seconds
c, p - () 39.59937 seconds
o, o - () 5.699951 seconds
d, d - () 11.49976 seconds
p, l - () 10.1499 seconds
l, c - () 27.43286 seconds
e, l - () 22.24963 seconds
t, t - () 7.166626 seconds
f, f - () 36.58276 seconds
LetterTask8
p, z - () 11.0332 seconds
o, p - () 19.14966 seconds
f, t - () 14.49976 seconds
d, d - () 18.69971 seconds
l, l - () 7.216675 seconds
e, e - () 2.899902 seconds
c, f - () 15.73303 seconds
z, z - () 12.78308 seconds
t, t - () 8.016602 seconds
LetterTask22
o, o - () 2.166748 seconds
l, l - () 2.75 seconds
d, d - () 2.466553 seconds
c, c - () 2.849854 seconds
t, t - () 3.583252 seconds
f, f - () 2.483398 seconds
p, p - () 3 seconds
z, z - () 2.866699 seconds
e, e - () 2.588135 seconds
LetterTask5
f, f - () 11.43311 seconds
p, d - () 11.96655 seconds
z, z - () 9.516357 seconds
e, c - () 9.899902 seconds
c, l - () 27.48291 seconds
t, z - () 16.86646 seconds
l, l - () 4.733154 seconds
d, c - () 8.033203 seconds
o, e - () 17.7998 seconds
LetterTask9
z, z - () 21.68286 seconds
p, z - () 12.80005 seconds
l, d - () 34.24927 seconds
t, t - () 10.65015 seconds
o, l - () 28.03296 seconds
d, z - () 31.41626 seconds
c, c - () 23.39941 seconds
e, t - () 24.43311 seconds
f, d - () 13.74976 seconds
LetterTask16
f, f - () 2.833496 seconds
p, p - () 2.799805 seconds
z, z - () 1.783447 seconds
e, e - () 2.033203 seconds
l, l - () 1.116699 seconds
c, c - () 1.56665 seconds
t, p - () 1.683105 seconds
o, o - () 4.526855 seconds
d, d - () 2.813965 seconds
LetterTask26
t, t - () 3.533203 seconds
o, o - () 3.550049 seconds
c, c - () 3.016602 seconds
e, e - () 3.533203 seconds
p, p - () 3.06665 seconds
f, f - () 3.81665 seconds
d, d - () 3.099854 seconds
l, l - () 3.416748 seconds
z, z - () 1.699951 seconds
LetterTask4
c, c - () 4.266602 seconds
o, d - () 7.116455 seconds
e, e - () 13.0166 seconds
f, e - () 36.21582 seconds
l, l - () 10.06665 seconds
d, d - () 6.599854 seconds
p, o - () 6.633301 seconds
z, z - () 6.566406 seconds
t, t - () 2.966797 seconds
LetterTask6
o, d - () 18.81616 seconds
l, d - () 28.84961 seconds
f, o - () 18.91626 seconds
c, z - () 38.28296 seconds
e, e - () 7.816406 seconds
z, f - () 6.666504 seconds
p, o - () 8.783203 seconds
t, t - () 14.2832 seconds
d, d - () 9.399902 seconds
LetterTask25
e, e - () 5.75 seconds
c, c - () 2.616455 seconds
z, z - () 2.43335 seconds
f, f - () 17.56641 seconds
p, p - () 3.766602 seconds
l, l - () 2.93335 seconds
d, d - () 5.899902 seconds
o, o - () 4.93335 seconds
t, t - () 3.216553 seconds
LetterTask2
z, p - () 14.71655 seconds
o, c - () 22.36621 seconds
t, d - () 47.21582 seconds
l, e - () 46.17041 seconds
p, l - () 9.128662 seconds
d, l - () 7.283203 seconds
f, f - () 10.75 seconds
e, d - () 6.349854 seconds
c, c - () 12.06641 seconds
LetterTask7
f, f - () 16.66626 seconds
o, c - () 14.96655 seconds
t, t - () 12.93311 seconds
c, d - () 29.14941 seconds
p, t - () 36.86621 seconds
e, e - () 6.849854 seconds
d, d - () 6.134277 seconds
l, l - () 7.882324 seconds
z, z - () 3.533203 seconds
LetterTask19
t, t - () 2.5 seconds
d, d - () 2.316406 seconds
z, z - () 2.583496 seconds
f, f - () 4.566406 seconds
o, o - () 4.850098 seconds
p, p - () 3.233154 seconds
l, l - () 1.333252 seconds
e, e - () 3.366699 seconds
c, c - () 2.600098 seconds
LetterTask18
