Start time: 8/23/2021 12:00:00 AM: 8/23/2021 10:10:01 AM
LetterTask1
e, e - () 3.966583 seconds
p, p - () 14.0831 seconds
t, t - () 10.16647 seconds
f, f - () 2.916626 seconds
l, l - () 2.083282 seconds
c, c - () 3.716614 seconds
z, z - () 6.599854 seconds
o, o - () 6.083221 seconds
d, d - () 3.916626 seconds
LetterTask21
l, f - () 14.01648 seconds
d, c - () 27.4328 seconds
c, f - () 5.083252 seconds
t, l - () 19.23303 seconds
f, c - () 8.233154 seconds
p, f - () 8.116516 seconds
o, e - () 12.81647 seconds
e, l - () 3.249939 seconds
z, d - () 11.71649 seconds
LetterTask3
e, f - () 10.61652 seconds
f, l - () 6.333191 seconds
d, l - () 8.616577 seconds
c, l - () 8.316528 seconds
z, e - () 10.58313 seconds
l, l - () 4.699951 seconds
o, l - () 18.74969 seconds
p, l - () 5.94989 seconds
t, o - () 9.966492 seconds
LetterTask13
z, z - () 5.299866 seconds
o, o - () 4.349915 seconds
d, d - () 3.149963 seconds
e, e - () 1.916626 seconds
c, c - () 2.583313 seconds
l, l - () 1.366638 seconds
t, t - () 2.416687 seconds
p, p - () 4.88324 seconds
f, f - () 2.283325 seconds
LetterTask14
c, c - () 2.716492 seconds
f, f - () 3.550049 seconds
z, z - () 4.524963 seconds
e, e - () 2.924805 seconds
p, p - () 4.616455 seconds
o, o - () 5.099915 seconds
d, d - () 2.049988 seconds
t, t - () 4.399902 seconds
l, l - () 1.499939 seconds
LetterTask12
e, l - () 2.900024 seconds
f, l - () 3.049805 seconds
t, l - () 2.650024 seconds
l, l - () 2.016602 seconds
c, e - () 1.800049 seconds
z, l - () 1.783325 seconds
o, f - () 4.683228 seconds
d, f - () 2.051392 seconds
p, l - () 2.065308 seconds
LetterTask9
f, f - () 1.866699 seconds
e, e - () 2.099976 seconds
l, d - () 2.333252 seconds
p, l - () 1.933228 seconds
c, f - () 1.699951 seconds
o, e - () 1.833374 seconds
t, d - () 1.883301 seconds
z, e - () 1.799927 seconds
d, o - () 1.949951 seconds
LetterTask17
l, f - () 1.649902 seconds
c, o - () 2.616699 seconds
o, d - () 3.683228 seconds
e, d - () 2.866699 seconds
z, p - () 2.733276 seconds
t, o - () 2.049927 seconds
f, o - () 1.899902 seconds
d, o - () 3 seconds
p, l - () 2.56665 seconds
LetterTask27
o, d - () 2.549927 seconds
p, p - () 3.399902 seconds
d, d - () 3.216675 seconds
f, c - () 4.783203 seconds
e, f - () 4.616577 seconds
z, t - () 2.766602 seconds
l, p - () 2.56665 seconds
t, p - () 2.167725 seconds
c, l - () 1.415527 seconds
LetterTask19
o, l - () 4.416626 seconds
t, f - () 2.699951 seconds
z, d - () 2.283325 seconds
c, d - () 2.049927 seconds
l, d - () 2.716675 seconds
p, c - () 2.583252 seconds
f, l - () 3.249878 seconds
d, e - () 1.699951 seconds
e, f - () 1.5 seconds
LetterTask16
z, f - () 1.899902 seconds
p, f - () 2.43335 seconds
d, e - () 3.533203 seconds
o, d - () 2.599976 seconds
f, o - () 2.400024 seconds
l, p - () 2.483276 seconds
e, o - () 2.016602 seconds
t, f - () 2.133301 seconds
c, o - () 2.216675 seconds
LetterTask4
t, p - () 3.133301 seconds
c, p - () 3.049927 seconds
f, z - () 2.699951 seconds
o, c - () 2.983276 seconds
z, c - () 3.349976 seconds
p, d - () 2.049927 seconds
l, c - () 2.549927 seconds
e, d - () 2.400024 seconds
d, l - () 2.616577 seconds
LetterTask5
z, p - () 1.883301 seconds
o, t - () 2.299927 seconds
c, z - () 2.483276 seconds
f, o - () 2.149902 seconds
t, t - () 2.583374 seconds
d, z - () 2.499878 seconds
e, t - () 2.516602 seconds
p, e - () 3.06665 seconds
l, o - () 1.699951 seconds
LetterTask20
c, f - () 1.866699 seconds
p, l - () 1.849976 seconds
d, e - () 2.366577 seconds
z, t - () 2.383301 seconds
f, d - () 2.283325 seconds
l, o - () 2.283203 seconds
t, p - () 2.033447 seconds
o, o - () 2.333252 seconds
e, l - () 1.749878 seconds
LetterTask2
o, f - () 2.099976 seconds
e, e - () 1.983276 seconds
z, d - () 2.333252 seconds
f, l - () 1.56665 seconds
d, e - () 1.783325 seconds
l, e - () 1.799927 seconds
c, e - () 1.950073 seconds
p, f - () 1.849976 seconds
t, f - () 1.649902 seconds
LetterTask7
o, e - () 1.899902 seconds
z, l - () 1.950073 seconds
c, e - () 2.333252 seconds
l, f - () 2.333252 seconds
e, f - () 1.699951 seconds
d, e - () 2.033325 seconds
p, e - () 1.900024 seconds
f, f - () 1.683228 seconds
t, l - () 1.133301 seconds
LetterTask18
c, f - () 1.81665 seconds
t, l - () 1.5 seconds
e, o - () 2.899902 seconds
l, f - () 2.266602 seconds
o, o - () 2.400024 seconds
z, f - () 2.733154 seconds
p, l - () 3.050049 seconds
f, l - () 2.733276 seconds
d, l - () 1.049927 seconds
LetterTask15
o, l - () 2 seconds
t, l - () 3.149902 seconds
d, l - () 2.383301 seconds
p, l - () 1.466675 seconds
z, l - () 1.533325 seconds
l, f - () 2.816528 seconds
e, e - () 1.650024 seconds
c, e - () 1.883301 seconds
f, f - () 1.883301 seconds
LetterTask23
z, l - () 1.466675 seconds
f, e - () 2.650879 seconds
d, c - () 2.082397 seconds
t, e - () 2.81665 seconds
e, f - () 2.299927 seconds
p, p - () 1.649902 seconds
o, d - () 1.766724 seconds
l, e - () 1.533203 seconds
c, f - () 1.516724 seconds
LetterTask8
p, o - () 1.641479 seconds
f, t - () 2.247681 seconds
d, l - () 2.464233 seconds
z, e - () 2.414307 seconds
t, l - () 1.698853 seconds
e, e - () 2 seconds
l, l - () 1.299927 seconds
o, p - () 4.033325 seconds
c, l - () 0.8999023 seconds
LetterTask11
z, e - () 1.516602 seconds
e, e - () 1.716553 seconds
t, p - () 1.883301 seconds
f, z - () 2.416626 seconds
l, t - () 2.099976 seconds
c, z - () 2.31665 seconds
o, o - () 1.633423 seconds
d, f - () 1.766602 seconds
p, l - () 1.333374 seconds
LetterTask24
l, l - () 1.549927 seconds
t, e - () 1.633301 seconds
o, e - () 2.133301 seconds
d, p - () 2.400024 seconds
e, f - () 1.966553 seconds
c, e - () 1.333374 seconds
p, f - () 2.383179 seconds
z, f - () 1.050049 seconds
f, e - () 1.383301 seconds
LetterTask26
z, f - () 1.583374 seconds
c, c - () 3.683228 seconds
f, f - () 2.516602 seconds
o, d - () 5.566528 seconds
p, p - () 4 seconds
d, d - () 3.083252 seconds
e, e - () 2.183228 seconds
t, t - () 3.583374 seconds
l, l - () 1.849976 seconds
LetterTask10
f, l - () 1.533325 seconds
c, e - () 1.599976 seconds
d, p - () 1.799927 seconds
t, e - () 1.383301 seconds
l, d - () 1.450073 seconds
o, d - () 1.466553 seconds
e, d - () 1.949951 seconds
p, e - () 1.466675 seconds
z, e - () 1.916626 seconds
LetterTask6
p, e - () 1.549927 seconds
e, e - () 1.783325 seconds
t, e - () 1.966675 seconds
l, c - () 1.93335 seconds
o, e - () 1.549927 seconds
f, o - () 1.533325 seconds
c, d - () 1.799927 seconds
d, d - () 1.783325 seconds
z, e - () 1.25 seconds
LetterTask22
o, o - () 2.5 seconds
z, z - () 4.349854 seconds
l, l - () 1.449951 seconds
f, f - () 2.5 seconds
p, p - () 3.616577 seconds
e, e - () 1.766602 seconds
t, t - () 2.650024 seconds
d, d - () 2.383301 seconds
c, c - () 2.416626 seconds
LetterTask25
l, l - () 1.116577 seconds
o, o - () 4.466675 seconds
f, f - () 3.349854 seconds
e, e - () 1.800049 seconds
z, z - () 2.999878 seconds
t, t - () 2.766724 seconds
p, p - () 4.816528 seconds
c, c - () 2.916626 seconds
d, d - () 5.166626 seconds
