"","Term","F","Df","Df.res","Pr(>F)"
"Device","Device",150.817370045471,2,848.000000000011,9.17175958275666e-57
"Rho","Rho",9.9003591328649,2,847.999999999971,5.62029523624048e-05
"Lambda","Lambda",535.811558094264,2,847.999999999971,3.59972742265561e-151
"Display","Display",31.5610309029325,1,847.999999999971,2.62091482752042e-08
"Device:Rho","Device:Rho",0.783838269822993,4,848.000000000024,0.535777815524957
"Device:Lambda","Device:Lambda",18.2971041907708,4,848.000000000024,1.97813064729802e-14
"Rho:Lambda","Rho:Lambda",10.0737283425524,4,847.999999999998,5.72361790262775e-08
"Device:Display","Device:Display",0.374236122079631,2,848.000000000011,0.687928024041283
"Rho:Display","Rho:Display",0.26680073788991,2,847.999999999971,0.765889916812846
"Lambda:Display","Lambda:Display",1.94987694755135,2,848.000000000011,0.1429290205428
"Device:Rho:Lambda","Device:Rho:Lambda",1.38280419979224,8,848.000000000003,0.200021951213939
"Device:Rho:Display","Device:Rho:Display",0.341011837239223,4,848.000000000024,0.850331090679523
"Device:Lambda:Display","Device:Lambda:Display",0.395603421576744,4,848.000000000024,0.811879777014179
"Rho:Lambda:Display","Rho:Lambda:Display",0.771665145758735,4,848.000000000024,0.54375467499873
"Device:Rho:Lambda:Display","Device:Rho:Lambda:Display",0.459822222380112,8,847.999999999971,0.884483750920358
