"","Term","F","Df","Df.res","Pr(>F)"
"Device","Device",25.1231916721484,2,848.000000000011,2.51280622615872e-11
"Rho","Rho",8.60489626807293,2,847.999999999971,0.000199690154983179
"Lambda","Lambda",80.6779117782209,2,848.000000000011,8.41513522058057e-33
"Display","Display",1.47992343102552,1,848.000000000024,0.224124990434274
"Device:Rho","Device:Rho",0.537125846849258,4,847.999999999998,0.708502029598264
"Device:Lambda","Device:Lambda",5.66728148173857,4,848.000000000024,0.000166999337955652
"Rho:Lambda","Rho:Lambda",0.557294482866444,4,847.999999999971,0.693746254635904
"Device:Display","Device:Display",1.36816516861658,2,848.000000000011,0.255134989102032
"Rho:Display","Rho:Display",0.558555686403763,2,848.000000000011,0.572244974038583
"Lambda:Display","Lambda:Display",5.10309365785205,2,847.999999999971,0.00626592869469384
"Device:Rho:Lambda","Device:Rho:Lambda",2.41979107670846,8,848.000000000003,0.0137849957173957
"Device:Rho:Display","Device:Rho:Display",0.310737799446945,4,847.999999999998,0.870885206783039
"Device:Lambda:Display","Device:Lambda:Display",0.149631579408256,4,848.000000000024,0.963172491853141
"Rho:Lambda:Display","Rho:Lambda:Display",0.652692945295807,4,847.999999999998,0.625082334618312
"Device:Rho:Lambda:Display","Device:Rho:Lambda:Display",0.659174637683093,8,848.000000000019,0.727750125164107
