"","Term","F","Df","Df.res","Pr(>F)"
"Device","Device",4.75375022099458,2,847.999999999971,0.00885034361315736
"Rho","Rho",9.29040895472489,2,848.000000000011,0.000102045774557929
"Lambda","Lambda",4.83005900328151,2,847.999999999971,0.00820710531058559
"Display","Display",207.312507543467,1,848.000000000024,3.27482110366563e-42
"Device:Rho","Device:Rho",1.28845359087667,4,847.999999999971,0.27281235381869
"Device:Lambda","Device:Lambda",1.20392874469145,4,848.000000000024,0.307598386707638
"Rho:Lambda","Rho:Lambda",0.201454792512734,4,847.999999999998,0.937589925410912
"Device:Display","Device:Display",1.35952447359009,2,847.999999999971,0.257341954945908
"Rho:Display","Rho:Display",0.338113957177055,2,847.999999999971,0.713210110926746
"Lambda:Display","Lambda:Display",3.81486470268039,2,848.000000000011,0.0224199258372185
"Device:Rho:Lambda","Device:Rho:Lambda",1.04233551059418,8,847.999999999987,0.402173107105405
"Device:Rho:Display","Device:Rho:Display",0.907068199749956,4,847.999999999971,0.459157840545492
"Device:Lambda:Display","Device:Lambda:Display",0.681399802780685,4,847.999999999971,0.604945696824741
"Rho:Lambda:Display","Rho:Lambda:Display",1.50452817176836,4,848.000000000024,0.198855578218205
"Device:Rho:Lambda:Display","Device:Rho:Lambda:Display",0.981508835213012,8,847.999999999987,0.448900828689152
