"","Term","F","Df","Df.res","Pr(>F)"
"Device","Device",7.22652354141829,2,5438.0000000001,0.000734047188323128
"Rho","Rho",25.179010019532,2,5438.0000000001,1.30381553837119e-11
"Lambda","Lambda",19.8198526055186,2,5438.0000000001,2.65196643960954e-09
"Display","Display",335.644246880879,1,5438.00000000119,8.45842861855649e-73
"Device:Rho","Device:Rho",3.62216685660242,4,5438.0000000001,0.00593130110916303
"Device:Lambda","Device:Lambda",3.57332044044987,4,5437.99999999901,0.00646106020071278
"Rho:Lambda","Rho:Lambda",1.1653937847366,4,5438.0000000001,0.323945534720044
"Device:Display","Device:Display",6.51187569868378,2,5438.0000000001,0.00149730221975662
"Rho:Display","Rho:Display",0.937987822800116,2,5438.0000000001,0.391477957159686
"Lambda:Display","Lambda:Display",9.07219724082574,2,5437.99999999846,0.000116561012812003
"Device:Rho:Lambda","Device:Rho:Lambda",3.15416244109686,8,5438.00000000075,0.00144404564375316
"Device:Rho:Display","Device:Rho:Display",1.9217176206151,4,5438.0000000001,0.103911274506166
"Device:Lambda:Display","Device:Lambda:Display",1.23803288041563,4,5438.0000000001,0.292384314799089
"Rho:Lambda:Display","Rho:Lambda:Display",2.06179788234439,4,5438.0000000001,0.0830896594599378
"Device:Rho:Lambda:Display","Device:Rho:Lambda:Display",2.25112369071844,8,5437.99999999944,0.0213079814585359
