"","contrast","estimate","SE","df","t.ratio","p.value"
"1","1000,headset - 1000,monitor",87.9738562091504,18.9237410495135,848.000000000024,4.64886176464627,5.67011892758096e-05
"2","1000,headset - 50,headset",-139.398692810457,18.9237410495135,848.000000000024,-7.36633905768019,5.86164450311344e-12
"3","1000,headset - 50,monitor",-77.0849673202614,18.9237410495135,848.000000000024,-4.0734528716373,0.000718482618276006
"4","1000,headset - 5000,headset",301.372549019608,18.9237410495135,848.000000000024,15.9256326870609,0
"5","1000,headset - 5000,monitor",344.803921568628,18.9237410495135,848.000000000024,18.2207059728019,0
"6","1000,monitor - 50,headset",-227.372549019608,18.9237410495135,848.000000000024,-12.0152008223265,0
"7","1000,monitor - 50,monitor",-165.058823529412,18.9237410495135,848.000000000024,-8.72231463628356,0
"8","1000,monitor - 5000,headset",213.398692810458,18.9237410495135,848.000000000024,11.2767709224146,0
"9","1000,monitor - 5000,monitor",256.830065359477,18.9237410495135,848.000000000024,13.5718442081556,0
"10","50,headset - 50,monitor",62.313725490196,18.9237410495135,848.000000000024,3.2928861860429,0.013172847553676
"11","50,headset - 5000,headset",440.771241830065,18.9237410495135,848.000000000024,23.2919717447411,0
"12","50,headset - 5000,monitor",484.202614379085,18.9237410495135,848.000000000024,25.5870450304821,0
"13","50,monitor - 5000,headset",378.457516339869,18.9237410495135,848.000000000024,19.9990855586982,0
"14","50,monitor - 5000,monitor",421.888888888889,18.9237410495135,848.000000000024,22.2941588444392,0
"15","5000,headset - 5000,monitor",43.4313725490196,18.9237410495135,848.000000000024,2.29507328574104,0.197106762240038
