"","contrast","estimate","SE","df","t.ratio","p.value"
"1","1000,headset - 1000,monitor",-192.503267973856,25.6754202786506,848.000000000024,-7.49757027868108,2.08044692584508e-12
"2","1000,headset - 50,headset",80.3169934640522,25.6754202786506,848.000000000024,3.12816665092087,0.022362182792515
"3","1000,headset - 50,monitor",-181.392156862745,25.6754202786506,848.000000000024,-7.06481743605867,4.99326135994238e-11
"4","1000,headset - 5000,headset",-16.4509803921569,25.6754202786506,848.000000000024,-0.640728767576828,0.987885354469029
"5","1000,headset - 5000,monitor",-206.049019607843,25.6754202786506,848.000000000024,-8.02514690593693,0
"6","1000,monitor - 50,headset",272.820261437908,25.6754202786506,848.000000000024,10.6257369296019,0
"7","1000,monitor - 50,monitor",11.1111111111111,25.6754202786506,848.000000000024,0.432752842622409,0.998076153978948
"8","1000,monitor - 5000,headset",176.052287581699,25.6754202786506,848.000000000024,6.85684151110425,2.02902694645957e-10
"9","1000,monitor - 5000,monitor",-13.5457516339869,25.6754202786506,848.000000000024,-0.52757662725585,0.995072071745381
"10","50,headset - 50,monitor",-261.709150326797,25.6754202786506,848.000000000024,-10.1929840869795,0
"11","50,headset - 5000,headset",-96.7679738562091,25.6754202786506,848.000000000024,-3.7688954184977,0.00241221412356962
"12","50,headset - 5000,monitor",-286.366013071895,25.6754202786506,848.000000000024,-11.1533135568578,0
"13","50,monitor - 5000,headset",164.941176470588,25.6754202786506,848.000000000024,6.42408866848184,3.31003568998511e-09
"14","50,monitor - 5000,monitor",-24.656862745098,25.6754202786506,848.000000000024,-0.960329469878259,0.930220149968016
"15","5000,headset - 5000,monitor",-189.598039215686,25.6754202786506,848.000000000024,-7.3844181383601,5.11457542984317e-12
