"","contrast","estimate","SE","df","t.ratio","p.value"
"1","100,headset - 100,monitor",33.1111111111111,26.4742402699373,848.000000000024,1.25069164491607,0.811520186493726
"2","100,headset - 300,headset",77.9934640522876,26.4742402699373,848.000000000024,2.94601330414201,0.0387095180839536
"3","100,headset - 300,monitor",105.490196078431,26.4742402699373,847.999999999971,3.98463544195526,0.00103287612664216
"4","100,headset - 500,headset",77.764705882353,26.4742402699373,847.999999999971,2.93737252096553,0.0396916856407837
"5","100,headset - 500,monitor",69.9738562091504,26.4742402699373,847.999999999971,2.64309213392646,0.0882585916203471
"6","100,monitor - 300,headset",44.8823529411765,26.4742402699373,848.000000000024,1.69532165922595,0.535237056822175
"7","100,monitor - 300,monitor",72.3790849673202,26.4742402699373,848.000000000024,2.73394379703919,0.0697522189900277
"8","100,monitor - 500,headset",44.6535947712418,26.4742402699373,848.000000000024,1.68668087604946,0.540993320772037
"9","100,monitor - 500,monitor",36.8627450980392,26.4742402699373,847.999999999971,1.39240048901039,0.731688709239735
"10","300,headset - 300,monitor",27.4967320261438,26.4742402699373,848.000000000024,1.03862213781324,0.904802289570845
"11","300,headset - 500,headset",-0.228758169934643,26.4742402699373,848.000000000024,-0.00864078317648301,0.999999999993267
"12","300,headset - 500,monitor",-8.01960784313725,26.4742402699373,847.999999999971,-0.302921170215558,0.999659145341309
"13","300,monitor - 500,headset",-27.7254901960784,26.4742402699373,848.000000000024,-1.04726292098973,0.901694027472135
"14","300,monitor - 500,monitor",-35.516339869281,26.4742402699373,847.999999999971,-1.3415433080288,0.761684908088898
"15","500,headset - 500,monitor",-7.79084967320261,26.4742402699373,847.999999999971,-0.294280387039075,0.999704217739768
