"","contrast","estimate","SE","df","z.ratio","p.value"
"1","100,headset - 100,monitor",-678.349128540305,69.2163778868829,Inf,-9.8004135617859,6.22835116814713e-14
"2","100,headset - 300,headset",357.225490196078,69.2163778868829,Inf,5.16099658927364,3.65403364799288e-06
"3","100,headset - 300,monitor",-343.762527233116,69.2163778868829,Inf,-4.96649113588276,1.01055093777447e-05
"4","100,headset - 500,headset",168.828976034858,69.2163778868829,Inf,2.43914780271755,0.142859989475856
"5","100,headset - 500,monitor",-652.446078431373,69.2163778868829,Inf,-9.42618059988107,5.40678612992451e-14
"6","100,monitor - 300,headset",1035.57461873638,69.2163778868829,Inf,14.9614101510595,0
"7","100,monitor - 300,monitor",334.586601307189,69.2163778868829,Inf,4.83392242590314,1.97807083740509e-05
"8","100,monitor - 500,headset",847.178104575164,69.2163778868829,Inf,12.2395613645035,0
"9","100,monitor - 500,monitor",25.9030501089325,69.2163778868829,Inf,0.374232961904834,0.99904877156833
"10","300,headset - 300,monitor",-700.988017429194,69.2163778868829,Inf,-10.1274877251564,5.97299987248334e-14
"11","300,headset - 500,headset",-188.39651416122,69.2163778868829,Inf,-2.72184878655609,0.0709660958311716
"12","300,headset - 500,monitor",-1009.67156862745,69.2163778868829,Inf,-14.5871771891547,0
"13","300,monitor - 500,headset",512.591503267974,69.2163778868829,Inf,7.40563893860032,1.99773531051051e-12
"14","300,monitor - 500,monitor",-308.683551198257,69.2163778868829,Inf,-4.4596894639983,0.000119675797833563
"15","500,headset - 500,monitor",-821.275054466231,69.2163778868829,Inf,-11.8653284025986,0
