Subject,Device,Rho,Lambda,Display,Number_Collisions
1,06x10,100,0050,headset,1.1666666666666667
1,06x10,100,0050,monitor,3.1666666666666665
1,06x10,100,1000,headset,1.3333333333333333
1,06x10,100,1000,monitor,4.5
1,06x10,100,5000,headset,1.5
1,06x10,100,5000,monitor,2.8333333333333335
1,06x10,300,0050,headset,0.8333333333333334
1,06x10,300,0050,monitor,2.3333333333333335
1,06x10,300,1000,headset,1.8333333333333333
1,06x10,300,1000,monitor,2.3333333333333335
1,06x10,300,5000,headset,0.8333333333333334
1,06x10,300,5000,monitor,2.0
1,06x10,500,0050,headset,1.5
1,06x10,500,0050,monitor,2.3333333333333335
1,06x10,500,1000,headset,0.8333333333333334
1,06x10,500,1000,monitor,1.6666666666666667
1,06x10,500,5000,headset,1.3333333333333333
1,06x10,500,5000,monitor,1.3333333333333333
1,10x16,100,0050,headset,1.3333333333333333
1,10x16,100,0050,monitor,2.0
1,10x16,100,1000,headset,1.8333333333333333
1,10x16,100,1000,monitor,3.0
1,10x16,100,5000,headset,1.5
1,10x16,100,5000,monitor,3.1666666666666665
1,10x16,300,0050,headset,1.1666666666666667
1,10x16,300,0050,monitor,1.6666666666666667
1,10x16,300,1000,headset,0.8333333333333334
1,10x16,300,1000,monitor,2.3333333333333335
1,10x16,300,5000,headset,1.3333333333333333
1,10x16,300,5000,monitor,2.5
1,10x16,500,0050,headset,1.0
1,10x16,500,0050,monitor,2.1666666666666665
1,10x16,500,1000,headset,1.3333333333333333
1,10x16,500,1000,monitor,3.1666666666666665
1,10x16,500,5000,headset,1.5
1,10x16,500,5000,monitor,2.5
1,19x31,100,0050,headset,1.0
1,19x31,100,0050,monitor,1.8333333333333333
1,19x31,100,1000,headset,2.0
1,19x31,100,1000,monitor,2.1666666666666665
1,19x31,100,5000,headset,1.5
1,19x31,100,5000,monitor,3.3333333333333335
1,19x31,300,0050,headset,0.8333333333333334
1,19x31,300,0050,monitor,2.0
1,19x31,300,1000,headset,0.5
1,19x31,300,1000,monitor,1.8333333333333333
1,19x31,300,5000,headset,1.1666666666666667
1,19x31,300,5000,monitor,2.0
1,19x31,500,0050,headset,1.3333333333333333
1,19x31,500,0050,monitor,2.1666666666666665
1,19x31,500,1000,headset,1.3333333333333333
1,19x31,500,1000,monitor,2.5
1,19x31,500,5000,headset,1.8333333333333333
1,19x31,500,5000,monitor,2.1666666666666665
3,06x10,100,0050,headset,1.1666666666666667
3,06x10,100,0050,monitor,2.0
3,06x10,100,1000,headset,0.8333333333333334
3,06x10,100,1000,monitor,2.1666666666666665
3,06x10,100,5000,headset,1.8333333333333333
3,06x10,100,5000,monitor,2.6666666666666665
3,06x10,300,0050,headset,2.0
3,06x10,300,0050,monitor,1.8333333333333333
3,06x10,300,1000,headset,2.0
3,06x10,300,1000,monitor,1.6666666666666667
3,06x10,300,5000,headset,1.5
3,06x10,300,5000,monitor,2.0
3,06x10,500,0050,headset,1.3333333333333333
3,06x10,500,0050,monitor,2.0
3,06x10,500,1000,headset,1.3333333333333333
3,06x10,500,1000,monitor,0.8333333333333334
3,06x10,500,5000,headset,1.6666666666666667
3,06x10,500,5000,monitor,2.1666666666666665
3,10x16,100,0050,headset,1.6666666666666667
3,10x16,100,0050,monitor,1.6666666666666667
3,10x16,100,1000,headset,1.5
3,10x16,100,1000,monitor,2.6666666666666665
3,10x16,100,5000,headset,1.8333333333333333
3,10x16,100,5000,monitor,1.6666666666666667
3,10x16,300,0050,headset,1.5
3,10x16,300,0050,monitor,1.5
3,10x16,300,1000,headset,1.8333333333333333
3,10x16,300,1000,monitor,1.5
3,10x16,300,5000,headset,1.6666666666666667
3,10x16,300,5000,monitor,1.8333333333333333
3,10x16,500,0050,headset,2.0
3,10x16,500,0050,monitor,2.1666666666666665
3,10x16,500,1000,headset,2.1666666666666665
3,10x16,500,1000,monitor,1.8333333333333333
3,10x16,500,5000,headset,2.1666666666666665
3,10x16,500,5000,monitor,2.0
3,19x31,100,0050,headset,0.8333333333333334
3,19x31,100,0050,monitor,1.5
3,19x31,100,1000,headset,1.5
3,19x31,100,1000,monitor,2.0
3,19x31,100,5000,headset,1.8333333333333333
3,19x31,100,5000,monitor,1.3333333333333333
3,19x31,300,0050,headset,1.1666666666666667
3,19x31,300,0050,monitor,1.6666666666666667
3,19x31,300,1000,headset,1.6666666666666667
3,19x31,300,1000,monitor,2.3333333333333335
3,19x31,300,5000,headset,1.5
3,19x31,300,5000,monitor,1.5
3,19x31,500,0050,headset,2.1666666666666665
3,19x31,500,0050,monitor,2.1666666666666665
3,19x31,500,1000,headset,1.5
3,19x31,500,1000,monitor,2.5
3,19x31,500,5000,headset,1.5
3,19x31,500,5000,monitor,1.5
4,06x10,100,0050,headset,1.6666666666666667
4,06x10,100,0050,monitor,0.0
4,06x10,100,1000,headset,2.1666666666666665
4,06x10,100,1000,monitor,0.6666666666666666
4,06x10,100,5000,headset,2.0
4,06x10,100,5000,monitor,1.0
4,06x10,300,0050,headset,1.8333333333333333
4,06x10,300,0050,monitor,1.0
4,06x10,300,1000,headset,1.8333333333333333
4,06x10,300,1000,monitor,1.5
4,06x10,300,5000,headset,1.5
4,06x10,300,5000,monitor,1.8333333333333333
4,06x10,500,0050,headset,0.8333333333333334
4,06x10,500,0050,monitor,2.0
4,06x10,500,1000,headset,1.0
4,06x10,500,1000,monitor,2.3333333333333335
4,06x10,500,5000,headset,1.0
4,06x10,500,5000,monitor,1.8333333333333333
4,10x16,100,0050,headset,1.5
4,10x16,100,0050,monitor,2.8333333333333335
4,10x16,100,1000,headset,1.6666666666666667
4,10x16,100,1000,monitor,2.8333333333333335
4,10x16,100,5000,headset,1.5
4,10x16,100,5000,monitor,1.5
4,10x16,300,0050,headset,1.5
4,10x16,300,0050,monitor,1.3333333333333333
4,10x16,300,1000,headset,1.1666666666666667
4,10x16,300,1000,monitor,1.1666666666666667
4,10x16,300,5000,headset,1.6666666666666667
4,10x16,300,5000,monitor,1.6666666666666667
4,10x16,500,0050,headset,1.5
4,10x16,500,0050,monitor,2.5
4,10x16,500,1000,headset,1.6666666666666667
4,10x16,500,1000,monitor,1.6666666666666667
4,10x16,500,5000,headset,1.8333333333333333
4,10x16,500,5000,monitor,2.0
4,19x31,100,0050,headset,1.8333333333333333
4,19x31,100,0050,monitor,2.1666666666666665
4,19x31,100,1000,headset,0.8333333333333334
4,19x31,100,1000,monitor,1.8333333333333333
4,19x31,100,5000,headset,1.3333333333333333
4,19x31,100,5000,monitor,2.5
4,19x31,300,0050,headset,1.5
4,19x31,300,0050,monitor,2.0
4,19x31,300,1000,headset,1.6666666666666667
4,19x31,300,1000,monitor,1.6666666666666667
4,19x31,300,5000,headset,1.5
4,19x31,300,5000,monitor,1.1666666666666667
4,19x31,500,0050,headset,1.1666666666666667
4,19x31,500,0050,monitor,2.1666666666666665
4,19x31,500,1000,headset,1.6666666666666667
4,19x31,500,1000,monitor,2.5
4,19x31,500,5000,headset,1.1666666666666667
4,19x31,500,5000,monitor,2.3333333333333335
5,06x10,100,0050,headset,0.0
5,06x10,100,0050,monitor,2.5
5,06x10,100,1000,headset,1.3333333333333333
5,06x10,100,1000,monitor,2.0
5,06x10,100,5000,headset,0.8333333333333334
5,06x10,100,5000,monitor,1.6666666666666667
5,06x10,300,0050,headset,0.6666666666666666
5,06x10,300,0050,monitor,1.3333333333333333
5,06x10,300,1000,headset,0.6666666666666666
5,06x10,300,1000,monitor,1.0
5,06x10,300,5000,headset,0.5
5,06x10,300,5000,monitor,1.8333333333333333
5,06x10,500,0050,headset,1.0
5,06x10,500,0050,monitor,1.0
5,06x10,500,1000,headset,1.0
5,06x10,500,1000,monitor,1.6666666666666667
5,06x10,500,5000,headset,1.0
5,06x10,500,5000,monitor,1.3333333333333333
5,10x16,100,0050,headset,1.3333333333333333
5,10x16,100,0050,monitor,1.0
5,10x16,100,1000,headset,1.0
5,10x16,100,1000,monitor,1.6666666666666667
5,10x16,100,5000,headset,0.16666666666666666
5,10x16,100,5000,monitor,1.5
5,10x16,300,0050,headset,0.0
5,10x16,300,0050,monitor,1.8333333333333333
5,10x16,300,1000,headset,0.0
5,10x16,300,1000,monitor,1.8333333333333333
5,10x16,300,5000,headset,0.8333333333333334
5,10x16,300,5000,monitor,1.0
5,10x16,500,0050,headset,0.0
5,10x16,500,0050,monitor,1.3333333333333333
5,10x16,500,1000,headset,0.0
5,10x16,500,1000,monitor,1.8333333333333333
5,10x16,500,5000,headset,1.0
5,10x16,500,5000,monitor,1.8333333333333333
5,19x31,100,0050,headset,0.0
5,19x31,100,0050,monitor,2.1666666666666665
5,19x31,100,1000,headset,1.0
5,19x31,100,1000,monitor,1.6666666666666667
5,19x31,100,5000,headset,1.0
5,19x31,100,5000,monitor,1.3333333333333333
5,19x31,300,0050,headset,0.0
5,19x31,300,0050,monitor,1.1666666666666667
5,19x31,300,1000,headset,0.0
5,19x31,300,1000,monitor,1.1666666666666667
5,19x31,300,5000,headset,0.3333333333333333
5,19x31,300,5000,monitor,2.0
5,19x31,500,0050,headset,0.0
5,19x31,500,0050,monitor,1.5
5,19x31,500,1000,headset,0.3333333333333333
5,19x31,500,1000,monitor,1.5
5,19x31,500,5000,headset,1.3333333333333333
5,19x31,500,5000,monitor,1.5
7,06x10,100,0050,headset,1.1666666666666667
7,06x10,100,0050,monitor,3.8333333333333335
7,06x10,100,1000,headset,1.1666666666666667
7,06x10,100,1000,monitor,2.6666666666666665
7,06x10,100,5000,headset,2.0
7,06x10,100,5000,monitor,2.1666666666666665
7,06x10,300,0050,headset,1.5
7,06x10,300,0050,monitor,1.6666666666666667
7,06x10,300,1000,headset,1.8333333333333333
7,06x10,300,1000,monitor,1.8333333333333333
7,06x10,300,5000,headset,1.8333333333333333
7,06x10,300,5000,monitor,1.3333333333333333
7,06x10,500,0050,headset,1.6666666666666667
