Subject,Device,Rho,Lambda,Display,Number_Collisions
1,06x10,100,0050,headset,3.0
1,06x10,100,0050,headset,2.0
1,06x10,100,0050,headset,1.0
1,06x10,100,0050,headset,1.0
1,06x10,100,1000,headset,3.0
1,06x10,100,1000,headset,1.0
1,06x10,100,1000,headset,2.0
1,06x10,100,1000,headset,2.0
1,06x10,100,5000,headset,3.0
1,06x10,100,5000,headset,2.0
1,06x10,100,5000,headset,2.0
1,06x10,100,5000,headset,2.0
1,06x10,300,0050,headset,1.0
1,06x10,300,0050,headset,2.0
1,06x10,300,0050,headset,1.0
1,06x10,300,0050,headset,1.0
1,06x10,300,1000,headset,1.0
1,06x10,300,1000,headset,2.0
1,06x10,300,1000,headset,1.0
1,06x10,300,1000,headset,2.0
1,06x10,300,1000,headset,2.0
1,06x10,300,1000,headset,3.0
1,06x10,300,5000,headset,1.0
1,06x10,300,5000,headset,2.0
1,06x10,300,5000,headset,1.0
1,06x10,300,5000,headset,1.0
1,06x10,500,0050,headset,3.0
1,06x10,500,0050,headset,1.0
1,06x10,500,0050,headset,1.0
1,06x10,500,0050,headset,2.0
1,06x10,500,0050,headset,1.0
1,06x10,500,0050,headset,1.0
1,06x10,500,1000,headset,1.0
1,06x10,500,1000,headset,2.0
1,06x10,500,1000,headset,1.0
1,06x10,500,1000,headset,1.0
1,06x10,500,5000,headset,1.0
1,06x10,500,5000,headset,3.0
1,06x10,500,5000,headset,1.0
1,06x10,500,5000,headset,1.0
1,06x10,500,5000,headset,1.0
1,06x10,500,5000,headset,1.0
1,10x16,100,0050,headset,1.0
1,10x16,100,0050,headset,1.0
1,10x16,100,0050,headset,2.0
1,10x16,100,0050,headset,1.0
1,10x16,100,0050,headset,1.0
1,10x16,100,0050,headset,2.0
1,10x16,100,1000,headset,3.0
1,10x16,100,1000,headset,2.0
1,10x16,100,1000,headset,1.0
1,10x16,100,1000,headset,1.0
1,10x16,100,1000,headset,1.0
1,10x16,100,1000,headset,3.0
1,10x16,100,5000,headset,1.0
1,10x16,100,5000,headset,1.0
1,10x16,100,5000,headset,2.0
1,10x16,100,5000,headset,1.0
1,10x16,100,5000,headset,1.0
1,10x16,100,5000,headset,3.0
1,10x16,300,0050,headset,2.0
1,10x16,300,0050,headset,3.0
1,10x16,300,0050,headset,1.0
1,10x16,300,0050,headset,1.0
1,10x16,300,1000,headset,2.0
1,10x16,300,1000,headset,2.0
1,10x16,300,1000,headset,1.0
1,10x16,300,5000,headset,3.0
1,10x16,300,5000,headset,2.0
1,10x16,300,5000,headset,2.0
1,10x16,300,5000,headset,1.0
1,10x16,500,0050,headset,1.0
1,10x16,500,0050,headset,1.0
1,10x16,500,0050,headset,1.0
1,10x16,500,0050,headset,3.0
1,10x16,500,1000,headset,1.0
1,10x16,500,1000,headset,1.0
1,10x16,500,1000,headset,2.0
1,10x16,500,1000,headset,2.0
1,10x16,500,1000,headset,2.0
1,10x16,500,5000,headset,2.0
1,10x16,500,5000,headset,1.0
1,10x16,500,5000,headset,3.0
1,10x16,500,5000,headset,1.0
1,10x16,500,5000,headset,2.0
1,19x31,100,0050,headset,1.0
1,19x31,100,0050,headset,1.0
1,19x31,100,0050,headset,1.0
1,19x31,100,0050,headset,1.0
1,19x31,100,0050,headset,2.0
1,19x31,100,1000,headset,3.0
1,19x31,100,1000,headset,1.0
1,19x31,100,1000,headset,2.0
1,19x31,100,1000,headset,2.0
1,19x31,100,1000,headset,2.0
1,19x31,100,1000,headset,2.0
1,19x31,100,5000,headset,3.0
1,19x31,100,5000,headset,1.0
1,19x31,100,5000,headset,2.0
1,19x31,100,5000,headset,1.0
1,19x31,100,5000,headset,1.0
1,19x31,100,5000,headset,1.0
1,19x31,300,0050,headset,2.0
1,19x31,300,0050,headset,1.0
1,19x31,300,0050,headset,1.0
1,19x31,300,0050,headset,1.0
1,19x31,300,1000,headset,1.0
1,19x31,300,1000,headset,1.0
1,19x31,300,1000,headset,1.0
1,19x31,300,5000,headset,1.0
1,19x31,300,5000,headset,1.0
1,19x31,300,5000,headset,3.0
1,19x31,300,5000,headset,2.0
1,19x31,500,0050,headset,1.0
1,19x31,500,0050,headset,1.0
1,19x31,500,0050,headset,2.0
1,19x31,500,0050,headset,1.0
1,19x31,500,0050,headset,1.0
1,19x31,500,0050,headset,2.0
1,19x31,500,1000,headset,1.0
1,19x31,500,1000,headset,2.0
1,19x31,500,1000,headset,2.0
1,19x31,500,1000,headset,1.0
1,19x31,500,1000,headset,1.0
1,19x31,500,1000,headset,1.0
1,19x31,500,5000,headset,2.0
1,19x31,500,5000,headset,2.0
1,19x31,500,5000,headset,1.0
1,19x31,500,5000,headset,2.0
1,19x31,500,5000,headset,1.0
1,19x31,500,5000,headset,3.0
3,06x10,100,0050,headset,3.0
3,06x10,100,0050,headset,1.0
3,06x10,100,0050,headset,1.0
3,06x10,100,0050,headset,1.0
3,06x10,100,0050,headset,1.0
3,06x10,100,1000,headset,1.0
3,06x10,100,1000,headset,1.0
3,06x10,100,1000,headset,1.0
3,06x10,100,1000,headset,2.0
3,06x10,100,5000,headset,2.0
3,06x10,100,5000,headset,1.0
3,06x10,100,5000,headset,2.0
3,06x10,100,5000,headset,2.0
3,06x10,100,5000,headset,2.0
3,06x10,100,5000,headset,2.0
3,06x10,300,0050,headset,3.0
3,06x10,300,0050,headset,2.0
3,06x10,300,0050,headset,2.0
3,06x10,300,0050,headset,3.0
3,06x10,300,0050,headset,1.0
3,06x10,300,0050,headset,1.0
3,06x10,300,1000,headset,2.0
3,06x10,300,1000,headset,3.0
3,06x10,300,1000,headset,2.0
3,06x10,300,1000,headset,2.0
3,06x10,300,1000,headset,2.0
3,06x10,300,1000,headset,1.0
3,06x10,300,5000,headset,1.0
3,06x10,300,5000,headset,3.0
3,06x10,300,5000,headset,2.0
3,06x10,300,5000,headset,2.0
3,06x10,300,5000,headset,1.0
3,06x10,500,0050,headset,1.0
3,06x10,500,0050,headset,2.0
3,06x10,500,0050,headset,2.0
3,06x10,500,0050,headset,2.0
3,06x10,500,0050,headset,1.0
3,06x10,500,1000,headset,2.0
3,06x10,500,1000,headset,1.0
3,06x10,500,1000,headset,2.0
3,06x10,500,1000,headset,1.0
3,06x10,500,1000,headset,1.0
3,06x10,500,1000,headset,1.0
3,06x10,500,5000,headset,2.0
3,06x10,500,5000,headset,2.0
3,06x10,500,5000,headset,2.0
3,06x10,500,5000,headset,2.0
3,06x10,500,5000,headset,1.0
3,06x10,500,5000,headset,1.0
3,10x16,100,0050,headset,2.0
3,10x16,100,0050,headset,2.0
3,10x16,100,0050,headset,2.0
3,10x16,100,0050,headset,1.0
3,10x16,100,0050,headset,3.0
3,10x16,100,1000,headset,2.0
3,10x16,100,1000,headset,2.0
3,10x16,100,1000,headset,2.0
3,10x16,100,1000,headset,1.0
3,10x16,100,1000,headset,2.0
3,10x16,100,5000,headset,2.0
3,10x16,100,5000,headset,2.0
3,10x16,100,5000,headset,1.0
3,10x16,100,5000,headset,3.0
3,10x16,100,5000,headset,2.0
3,10x16,100,5000,headset,1.0
3,10x16,300,0050,headset,2.0
3,10x16,300,0050,headset,1.0
3,10x16,300,0050,headset,2.0
3,10x16,300,0050,headset,1.0
3,10x16,300,0050,headset,1.0
3,10x16,300,0050,headset,2.0
3,10x16,300,1000,headset,2.0
3,10x16,300,1000,headset,2.0
